row_index,new_name,PlantCode,plant_name,plant_pmax_mw,eia_pm,target_type,promoted,reason,eha_plant_mode
20,Caribou 2_5,223,Caribou 2,117.9,HY,HydroTurbine,true,plant aggregate Pmax 117.9 MW >= 100 MW threshold,
21,Coleman PH_1,227,Coleman PH,12.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 12.1 MW < 100 MW and unit is not PS,
22,Cow Creek_1,229,Cow Creek,1.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.4 MW < 100 MW and unit is not PS,
23,Cow Creek_2,229,Cow Creek,1.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.4 MW < 100 MW and unit is not PS,
24,Drum 1_1,235,Drum 1,49.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 49.2 MW < 100 MW and unit is not PS,
25,Drum 1_2,235,Drum 1,49.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 49.2 MW < 100 MW and unit is not PS,
26,Drum 1_3,235,Drum 1,49.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 49.2 MW < 100 MW and unit is not PS,
27,Drum 1_4,235,Drum 1,49.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 49.2 MW < 100 MW and unit is not PS,
28,Dutch Flat_1,237,Dutch Flat,22.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 22.0 MW < 100 MW and unit is not PS,
29,El Dorado_1,238,El Dorado,20.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 20.0 MW < 100 MW and unit is not PS,
30,El Dorado_2,238,El Dorado,20.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 20.0 MW < 100 MW and unit is not PS,
31,Electra_1,239,Electra,102.5,HY,HydroTurbine,true,plant aggregate Pmax 102.5 MW >= 100 MW threshold,
32,Electra_2,239,Electra,102.5,HY,HydroTurbine,true,plant aggregate Pmax 102.5 MW >= 100 MW threshold,
33,Electra_3,239,Electra,102.5,HY,HydroTurbine,true,plant aggregate Pmax 102.5 MW >= 100 MW threshold,
34,Haas_H1,240,Haas,135.0,HY,HydroTurbine,true,plant aggregate Pmax 135.0 MW >= 100 MW threshold,
35,Haas_H2,240,Haas,135.0,HY,HydroTurbine,true,plant aggregate Pmax 135.0 MW >= 100 MW threshold,
36,Halsey_1,241,Halsey,13.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 13.6 MW < 100 MW and unit is not PS,
37,Hamilton Branch_1,242,Hamilton Branch,5.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.3 MW < 100 MW and unit is not PS,
38,Hamilton Branch_2,242,Hamilton Branch,5.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.3 MW < 100 MW and unit is not PS,
39,Hat Creek 1_1,243,Hat Creek 1,10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
40,Hat Creek 2_1,244,Hat Creek 2,10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
51,Inskip_1,248,Inskip,7.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 7.6 MW < 100 MW and unit is not PS,
52,James B Black_1,249,James B Black,168.6,HY,HydroTurbine,true,plant aggregate Pmax 168.6 MW >= 100 MW threshold,
53,James B Black_2,249,James B Black,168.6,HY,HydroTurbine,true,plant aggregate Pmax 168.6 MW >= 100 MW threshold,
54,Kerckhoff_H1,250,Kerckhoff,22.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 22.6 MW < 100 MW and unit is not PS,
55,Kerckhoff_H3,250,Kerckhoff,22.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 22.6 MW < 100 MW and unit is not PS,
56,Kilarc_1,253,Kilarc,1.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.5 MW < 100 MW and unit is not PS,
57,Merced Falls_1,258,Merced Falls,3.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.4 MW < 100 MW and unit is not PS,
64,Murphys_1,261,Murphys,3.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.6 MW < 100 MW and unit is not PS,
65,Phoenix_1,264,Phoenix,1.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.6 MW < 100 MW and unit is not PS,
66,Pit 1_H1,265,Pit 1,69.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 69.2 MW < 100 MW and unit is not PS,
67,Pit 1_H2,265,Pit 1,69.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 69.2 MW < 100 MW and unit is not PS,
68,Pit 4_1,267,Pit 4,103.4,HY,HydroTurbine,true,plant aggregate Pmax 103.4 MW >= 100 MW threshold,
69,Pit 4_2,267,Pit 4,103.4,HY,HydroTurbine,true,plant aggregate Pmax 103.4 MW >= 100 MW threshold,
70,Pit 5_H1,268,Pit 5,141.6,HY,HydroTurbine,true,plant aggregate Pmax 141.6 MW >= 100 MW threshold,
71,Pit 5_H2,268,Pit 5,141.6,HY,HydroTurbine,true,plant aggregate Pmax 141.6 MW >= 100 MW threshold,
72,Pit 5_H3,268,Pit 5,141.6,HY,HydroTurbine,true,plant aggregate Pmax 141.6 MW >= 100 MW threshold,
73,Pit 5_H4,268,Pit 5,141.6,HY,HydroTurbine,true,plant aggregate Pmax 141.6 MW >= 100 MW threshold,
74,Pit 6_H1,269,Pit 6,79.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 79.2 MW < 100 MW and unit is not PS,
75,Pit 6_H2,269,Pit 6,79.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 79.2 MW < 100 MW and unit is not PS,
76,Potter Valley_1,274,Potter Valley,9.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.4 MW < 100 MW and unit is not PS,
77,Potter Valley_2,274,Potter Valley,9.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.4 MW < 100 MW and unit is not PS,
78,Potter Valley_3,274,Potter Valley,9.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.4 MW < 100 MW and unit is not PS,
79,Rock Creek_H1,275,Rock Creek,126.0,HY,HydroTurbine,true,plant aggregate Pmax 126.0 MW >= 100 MW threshold,
80,Rock Creek_H2,275,Rock Creek,126.0,HY,HydroTurbine,true,plant aggregate Pmax 126.0 MW >= 100 MW threshold,
81,Salt Springs_1,279,Salt Springs,42.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 42.0 MW < 100 MW and unit is not PS,
82,Salt Springs_2,279,Salt Springs,42.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 42.0 MW < 100 MW and unit is not PS,
83,South_1,280,South,6.7,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 6.7 MW < 100 MW and unit is not PS,
84,Spaulding 1_1,281,Spaulding 1,7.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 7.0 MW < 100 MW and unit is not PS,
85,Spaulding 2_1,282,Spaulding 2,3.7,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.7 MW < 100 MW and unit is not PS,
86,Spaulding 3_1,283,Spaulding 3,6.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 6.6 MW < 100 MW and unit is not PS,
87,Spring Gap_1,284,Spring Gap,6.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 6.0 MW < 100 MW and unit is not PS,
88,Stanislaus_HC1,285,Stanislaus,81.9,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 81.9 MW < 100 MW and unit is not PS,
89,Tiger Creek_H1,287,Tiger Creek,52.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 52.2 MW < 100 MW and unit is not PS,
90,Tiger Creek_H2,287,Tiger Creek,52.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 52.2 MW < 100 MW and unit is not PS,
91,Tule River_1,289,Tule River,8.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.4 MW < 100 MW and unit is not PS,
92,Tule River_2,289,Tule River,8.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.4 MW < 100 MW and unit is not PS,
93,Volta 1_1,290,Volta 1,8.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.5 MW < 100 MW and unit is not PS,
94,West Point PH_1,291,West Point PH,13.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 13.6 MW < 100 MW and unit is not PS,
95,Wise_1,292,Wise,16.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 16.4 MW < 100 MW and unit is not PS,
96,Wise_2,292,Wise,16.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 16.4 MW < 100 MW and unit is not PS,
97,Copco 1_1,294,Copco 1,20.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 20.0 MW < 100 MW and unit is not PS,
98,Copco 1_2,294,Copco 1,20.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 20.0 MW < 100 MW and unit is not PS,
99,Copco 2_1,295,Copco 2,27.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 27.0 MW < 100 MW and unit is not PS,
100,Copco 2_2,295,Copco 2,27.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 27.0 MW < 100 MW and unit is not PS,
101,Fall Creek_1,296,Fall Creek,2.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.1 MW < 100 MW and unit is not PS,
102,Fall Creek_2,296,Fall Creek,2.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.1 MW < 100 MW and unit is not PS,
103,Fall Creek_3,296,Fall Creek,2.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.1 MW < 100 MW and unit is not PS,
104,Iron Gate_1,297,Iron Gate,18.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 18.0 MW < 100 MW and unit is not PS,
105,Drop 5_1,314,Drop 5,4.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 4.0 MW < 100 MW and unit is not PS,
106,Drop 5_2,314,Drop 5,4.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 4.0 MW < 100 MW and unit is not PS,
110,Big Creek 2_3,318,Big Creek 2,66.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.6 MW < 100 MW and unit is not PS,
111,Big Creek 2_4,318,Big Creek 2,66.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.6 MW < 100 MW and unit is not PS,
112,Big Creek 2_5,318,Big Creek 2,66.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.6 MW < 100 MW and unit is not PS,
113,Big Creek 2_6,318,Big Creek 2,66.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.6 MW < 100 MW and unit is not PS,
114,Big Creek 3_1,319,Big Creek 3,174.5,HY,HydroTurbine,true,plant aggregate Pmax 174.5 MW >= 100 MW threshold,
115,Big Creek 3_2,319,Big Creek 3,174.5,HY,HydroTurbine,true,plant aggregate Pmax 174.5 MW >= 100 MW threshold,
116,Big Creek 3_3,319,Big Creek 3,174.5,HY,HydroTurbine,true,plant aggregate Pmax 174.5 MW >= 100 MW threshold,
117,Big Creek 3_4,319,Big Creek 3,174.5,HY,HydroTurbine,true,plant aggregate Pmax 174.5 MW >= 100 MW threshold,
118,Big Creek 3_5,319,Big Creek 3,174.5,HY,HydroTurbine,true,plant aggregate Pmax 174.5 MW >= 100 MW threshold,
119,Big Creek 8_1,321,Big Creek 8,75.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 75.0 MW < 100 MW and unit is not PS,
120,Big Creek 8_2,321,Big Creek 8,75.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 75.0 MW < 100 MW and unit is not PS,
121,Big Creek 2A_1,322,Big Creek 2A,110.0,HY,HydroTurbine,true,plant aggregate Pmax 110.0 MW >= 100 MW threshold,
122,Big Creek 2A_2,322,Big Creek 2A,110.0,HY,HydroTurbine,true,plant aggregate Pmax 110.0 MW >= 100 MW threshold,
123,Bishop Creek 2_1,323,Bishop Creek 2,7.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 7.3 MW < 100 MW and unit is not PS,
124,Bishop Creek 2_2,323,Bishop Creek 2,7.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 7.3 MW < 100 MW and unit is not PS,
125,Bishop Creek 2_3,323,Bishop Creek 2,7.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 7.3 MW < 100 MW and unit is not PS,
126,Bishop Creek 3_1,324,Bishop Creek 3,8.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.4 MW < 100 MW and unit is not PS,
127,Bishop Creek 3_2,324,Bishop Creek 3,8.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.4 MW < 100 MW and unit is not PS,
128,Bishop Creek 3_3,324,Bishop Creek 3,8.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.4 MW < 100 MW and unit is not PS,
129,Bishop Creek 4_1,325,Bishop Creek 4,8.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.2 MW < 100 MW and unit is not PS,
130,Bishop Creek 4_2,325,Bishop Creek 4,8.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.2 MW < 100 MW and unit is not PS,
131,Bishop Creek 4_3,325,Bishop Creek 4,8.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.2 MW < 100 MW and unit is not PS,
132,Bishop Creek 4_4,325,Bishop Creek 4,8.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.2 MW < 100 MW and unit is not PS,
133,Bishop Creek 4_5,325,Bishop Creek 4,8.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 8.2 MW < 100 MW and unit is not PS,
134,Bishop Creek 5_1,326,Bishop Creek 5,4.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 4.5 MW < 100 MW and unit is not PS,
135,Bishop Creek 5_2,326,Bishop Creek 5,4.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 4.5 MW < 100 MW and unit is not PS,
136,Bishop Creek 6_1,327,Bishop Creek 6,1.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.6 MW < 100 MW and unit is not PS,
137,Borel_1,328,Borel,12.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 12.0 MW < 100 MW and unit is not PS,
138,Borel_2,328,Borel,12.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 12.0 MW < 100 MW and unit is not PS,
139,Borel_3,328,Borel,12.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 12.0 MW < 100 MW and unit is not PS,
140,Fontana_1,332,Fontana,3.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.0 MW < 100 MW and unit is not PS,
141,Fontana_2,332,Fontana,3.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.0 MW < 100 MW and unit is not PS,
143,Kaweah 1_1,337,Kaweah 1,2.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.3 MW < 100 MW and unit is not PS,
144,Kern River 3_1,339,Kern River 3,40.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 40.3 MW < 100 MW and unit is not PS,
145,Kern River 3_2,339,Kern River 3,40.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 40.3 MW < 100 MW and unit is not PS,
146,Kern River 1_1,340,Kern River 1,26.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 26.4 MW < 100 MW and unit is not PS,
147,Kern River 1_2,340,Kern River 1,26.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 26.4 MW < 100 MW and unit is not PS,
148,Kern River 1_3,340,Kern River 1,26.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 26.4 MW < 100 MW and unit is not PS,
149,Kern River 1_4,340,Kern River 1,26.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 26.4 MW < 100 MW and unit is not PS,
154,Mammoth Pool_1,344,Mammoth Pool,190.0,HY,HydroTurbine,true,plant aggregate Pmax 190.0 MW >= 100 MW threshold,
155,Mammoth Pool_2,344,Mammoth Pool,190.0,HY,HydroTurbine,true,plant aggregate Pmax 190.0 MW >= 100 MW threshold,
158,Poole_1,353,Poole,11.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 11.3 MW < 100 MW and unit is not PS,
162,Rush Creek_1,357,Rush Creek,13.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 13.1 MW < 100 MW and unit is not PS,
163,Rush Creek_2,357,Rush Creek,13.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 13.1 MW < 100 MW and unit is not PS,
170,Santa Ana 1_1,361,Santa Ana 1,3.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.2 MW < 100 MW and unit is not PS,
171,Santa Ana 1_2,361,Santa Ana 1,3.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.2 MW < 100 MW and unit is not PS,
172,Santa Ana 1_3,361,Santa Ana 1,3.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.2 MW < 100 MW and unit is not PS,
173,Santa Ana 1_4,361,Santa Ana 1,3.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.2 MW < 100 MW and unit is not PS,
174,Lower Tule River_1,365,Lower Tule River,2.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.6 MW < 100 MW and unit is not PS,
175,Lower Tule River_2,365,Lower Tule River,2.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.6 MW < 100 MW and unit is not PS,
176,Pardee_1,376,Pardee,23.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 23.6 MW < 100 MW and unit is not PS,
177,Pardee_2,376,Pardee,23.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 23.6 MW < 100 MW and unit is not PS,
178,Pardee_3,376,Pardee,23.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 23.6 MW < 100 MW and unit is not PS,
187,Dion R Holm_1,380,Dion R Holm,156.8,HY,HydroTurbine,true,plant aggregate Pmax 156.8 MW >= 100 MW threshold,
188,Dion R Holm_2,380,Dion R Holm,156.8,HY,HydroTurbine,true,plant aggregate Pmax 156.8 MW >= 100 MW threshold,
189,R C Kirkwood_1,382,R C Kirkwood,115.5,HY,HydroTurbine,true,plant aggregate Pmax 115.5 MW >= 100 MW threshold,
190,R C Kirkwood_2,382,R C Kirkwood,115.5,HY,HydroTurbine,true,plant aggregate Pmax 115.5 MW >= 100 MW threshold,
191,R C Kirkwood_3,382,R C Kirkwood,115.5,HY,HydroTurbine,true,plant aggregate Pmax 115.5 MW >= 100 MW threshold,
192,Drop 2 (CA)_1,385,Drop 2 (CA),10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
193,Drop 2 (CA)_2,385,Drop 2 (CA),10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
194,Drop 3 (CA)_1,386,Drop 3 (CA),9.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.2 MW < 100 MW and unit is not PS,
195,Drop 3 (CA)_2,386,Drop 3 (CA),9.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.2 MW < 100 MW and unit is not PS,
196,Drop 4_1,387,Drop 4,19.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 19.6 MW < 100 MW and unit is not PS,
197,Drop 4_2,387,Drop 4,19.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 19.6 MW < 100 MW and unit is not PS,
198,Pilot Knob_1,388,Pilot Knob,33.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 33.0 MW < 100 MW and unit is not PS,
199,Pilot Knob_2,388,Pilot Knob,33.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 33.0 MW < 100 MW and unit is not PS,
207,Big Pine Creek_1,391,Big Pine Creek,3.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.2 MW < 100 MW and unit is not PS,
208,Foothill_1,396,Foothill,10.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.1 MW < 100 MW and unit is not PS,
209,Franklin (CA)_1,397,Franklin (CA),2.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 2.0 MW < 100 MW and unit is not PS,
210,Haiwee_1,398,Haiwee,5.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.6 MW < 100 MW and unit is not PS,
211,Haiwee_2,398,Haiwee,5.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.6 MW < 100 MW and unit is not PS,
231,Middle Gorge_1,401,Middle Gorge,37.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 37.5 MW < 100 MW and unit is not PS,
232,San Fernando_1,403,San Fernando,5.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.6 MW < 100 MW and unit is not PS,
233,San Fernando_2,403,San Fernando,5.6,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 5.6 MW < 100 MW and unit is not PS,
240,Upper Gorge_1,407,Upper Gorge,37.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 37.5 MW < 100 MW and unit is not PS,
245,McSwain_1,410,McSwain,9.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 9.0 MW < 100 MW and unit is not PS,
246,Chicago Park_2P,412,Chicago Park,44.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 44.0 MW < 100 MW and unit is not PS,
247,Dutch Flat 2_3P,413,Dutch Flat 2,27.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 27.3 MW < 100 MW and unit is not PS,
248,Beardsley_1,414,Beardsley,10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
249,Donnells_H1,415,Donnells,72.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 72.0 MW < 100 MW and unit is not PS,
250,Tulloch_1,416,Tulloch,29.9,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 29.9 MW < 100 MW and unit is not PS,
251,Tulloch_2,416,Tulloch,29.9,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 29.9 MW < 100 MW and unit is not PS,
252,Tulloch_3,416,Tulloch,29.9,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 29.9 MW < 100 MW and unit is not PS,
253,Kelly Ridge_1,418,Kelly Ridge,10.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 10.0 MW < 100 MW and unit is not PS,
260,French Meadows_1,424,French Meadows,15.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 15.3 MW < 100 MW and unit is not PS,
261,Middle Fork_1,425,Middle Fork,122.4,HY,HydroTurbine,true,plant aggregate Pmax 122.4 MW >= 100 MW threshold,
262,Middle Fork_2,425,Middle Fork,122.4,HY,HydroTurbine,true,plant aggregate Pmax 122.4 MW >= 100 MW threshold,
263,Oxbow (CA)_1,426,Oxbow (CA),6.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 6.1 MW < 100 MW and unit is not PS,
264,Ralston_1,427,Ralston,79.2,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 79.2 MW < 100 MW and unit is not PS,
265,Camino_H1,430,Camino,157.8,HY,HydroTurbine,true,plant aggregate Pmax 157.8 MW >= 100 MW threshold,
266,Camino_H2,430,Camino,157.8,HY,HydroTurbine,true,plant aggregate Pmax 157.8 MW >= 100 MW threshold,
267,Jaybird_H1,431,Jaybird,161.6,HY,HydroTurbine,true,plant aggregate Pmax 161.6 MW >= 100 MW threshold,
268,Jaybird_H2,431,Jaybird,161.6,HY,HydroTurbine,true,plant aggregate Pmax 161.6 MW >= 100 MW threshold,
269,Loon Lake_H1,432,Loon Lake,74.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 74.1 MW < 100 MW and unit is not PS,
270,Robbs Peak_1,433,Robbs Peak,25.5,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 25.5 MW < 100 MW and unit is not PS,
271,Devil Canyon_1,436,Devil Canyon,276.2,HY,HydroTurbine,true,plant aggregate Pmax 276.2 MW >= 100 MW threshold,
272,Devil Canyon_2,436,Devil Canyon,276.2,HY,HydroTurbine,true,plant aggregate Pmax 276.2 MW >= 100 MW threshold,
273,Devil Canyon_3,436,Devil Canyon,276.2,HY,HydroTurbine,true,plant aggregate Pmax 276.2 MW >= 100 MW threshold,
274,Devil Canyon_4,436,Devil Canyon,276.2,HY,HydroTurbine,true,plant aggregate Pmax 276.2 MW >= 100 MW threshold,
275,Edward C Hyatt_1,437,Edward C Hyatt,644.1,HY,HydroTurbine,true,plant aggregate Pmax 644.1 MW >= 100 MW threshold,
276,Edward C Hyatt_2,437,Edward C Hyatt,644.1,PS,HydroPumpTurbine,true,plant aggregate Pmax 644.1 MW >= 100 MW threshold,
277,Edward C Hyatt_3,437,Edward C Hyatt,644.1,HY,HydroTurbine,true,plant aggregate Pmax 644.1 MW >= 100 MW threshold,
278,Edward C Hyatt_4,437,Edward C Hyatt,644.1,PS,HydroPumpTurbine,true,plant aggregate Pmax 644.1 MW >= 100 MW threshold,
