reservoir_name,eia_plant_code,plant_name,storage_level_min_m3,storage_level_max_m3,initial_level_m3,initial_level_fraction,intake_elevation_m,powerhouse_elevation_m,head_m,turbine_type,level_data_type,evaporative_loss,inflow_m3s,head_to_volume_slope,head_is_fallback,initial_is_default,inflow_source,param_source,confidence,notes
Reservoir_Mammoth Pool,344,Mammoth Pool,0.0,150700638.9,75350319.5,0.5,306.02,0.0,306.02,PELTON,USABLE_VOLUME,0.0,,492454.0,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 306.02 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 306.02 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station MPL exists but reports no data for 2019 (sensor 15 empty all year)
Reservoir_Dion R Holm,380,Dion R Holm,0.0,337357272.3,258889327.6,0.767404,96.01,0.0,96.01,FRANCIS,USABLE_VOLUME,0.0,,3513770.0,true,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station CHV storage on 2019-01-01 (matches CATS time-series epoch); head_m=NID dam_height_m fallback (sanctioned substitution; no EHA head for this plant); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 96.01 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium (fallback: dam height used as head proxy); turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"head_m substituted from NID dam_height_m -- no EHA unit head available; turbine_type guess basis: head 96.01 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_R C Kirkwood,382,R C Kirkwood,0.0,444053448.0,302458371.7,0.681131,95.1,0.0,95.1,FRANCIS,USABLE_VOLUME,0.0,20.2,4669330.0,true,false,"USGS NWIS site 11274790, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station HTH storage on 2019-01-01 (matches CATS time-series epoch); head_m=NID dam_height_m fallback (sanctioned substitution; no EHA head for this plant); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 95.10 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=USGS NWIS site 11274790, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium (fallback: dam height used as head proxy); turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"head_m substituted from NID dam_height_m -- no EHA unit head available; turbine_type guess basis: head 95.10 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Middle Fork,425,Middle Fork,0.0,255330732.6,84312181.5,0.330208,638.86,0.0,638.86,PELTON,USABLE_VOLUME,0.0,,399666.0,false,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station HHL storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 638.86 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,turbine_type guess basis: head 638.86 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
Reservoir_Camino,430,Camino,0.0,669780.6,358943.2,0.535912,304.8,0.0,304.8,PELTON,USABLE_VOLUME,0.0,,2197.44,false,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station CMI storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 304.80 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,turbine_type guess basis: head 304.80 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station CMI reports no rated capacity in the reservoir-conditions feed
Reservoir_Jaybird,431,Jaybird,0.0,3700445.4,2911017.0,0.786667,457.2,0.0,457.2,PELTON,USABLE_VOLUME,0.0,,8093.71,false,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station JNC storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 457.20 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,turbine_type guess basis: head 457.20 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station JNC reports no rated capacity in the reservoir-conditions feed
Reservoir_Devil Canyon,436,Devil Canyon,0.0,1184142.5,592071.2,0.5,12.19,0.0,12.19,KAPLAN,USABLE_VOLUME,0.0,,97140.5,true,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=NID dam_height_m fallback (sanctioned substitution; no EHA head for this plant); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 12.19 m < 30 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=medium (fallback: dam height used as head proxy); turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; head_m substituted from NID dam_height_m -- no EHA unit head available; turbine_type guess basis: head 12.19 m < 30 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir
Reservoir_Edward C Hyatt,437,Edward C Hyatt,0.0,4366525572.0,1273361500.1,0.291619,187.45,0.0,187.45,FRANCIS,USABLE_VOLUME,0.0,235.485,23294300.0,false,false,"CDEC station ORO, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station ORO storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 187.45 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station ORO, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 187.45 m in [30, 300] m band; hydro_reservoir_sources.csv notes: HILARRI returned 2 distinct rows for this EIA code; EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Don Pedro,439,Don Pedro,0.0,2837008140.0,1760382053.1,0.620507,137.16,0.0,137.16,FRANCIS,USABLE_VOLUME,0.0,109.589,20683900.0,false,false,"CDEC station DNP, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station DNP storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 137.16 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station DNP, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 137.16 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Folsom,441,Folsom,0.0,1235948763.6,382998565.9,0.309882,91.44,0.0,91.44,FRANCIS,USABLE_VOLUME,0.0,163.089,13516500.0,false,false,"CDEC station FOL, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station FOL storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 91.44 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station FOL, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 91.44 m in [30, 300] m band; hydro_reservoir_sources.csv notes: HILARRI returned 2 distinct rows for this EIA code; EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; Units report differing heads (ft): [300.0, 330.0]; used head of largest-MW unit (300.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Judge F Carr,442,Judge F Carr,0.0,18082843.2,17684428.6,0.977967,175.26,0.0,175.26,FRANCIS,USABLE_VOLUME,0.0,46.843,103177.0,false,false,"CDEC station LEW, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station LEW storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 175.26 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station LEW, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 175.26 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Keswick,443,Keswick,0.0,30999864.6,25604615.2,0.825959,25.6,0.0,25.6,KAPLAN,USABLE_VOLUME,0.0,284.042,1210930.0,false,false,"CDEC station KES, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station KES storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 25.60 m < 30 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station KES, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 25.60 m < 30 m; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Shasta,445,Shasta,0.0,5750319464.1,2800177606.9,0.48696,129.54,0.0,129.54,FRANCIS,USABLE_VOLUME,0.0,288.44,44390300.0,false,false,"CDEC station SHA, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station SHA storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 129.54 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station SHA, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 129.54 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; Units report differing heads (ft): [330.0, 425.0]; used head of largest-MW unit (425.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Parker Dam,447,Parker Dam,0.0,222026724.0,111013362.0,0.5,24.38,0.0,24.38,KAPLAN,USABLE_VOLUME,0.0,317.779,9106920.0,false,true,"USGS NWIS site 09423000, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 24.38 m < 30 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=USGS NWIS site 09423000, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 24.38 m < 30 m; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_W R Gianelli,448,W R Gianelli,0.0,2612983175.5,1861961746.3,0.712581,92.96,0.0,92.96,FRANCIS,USABLE_VOLUME,0.0,,28108700.0,true,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station SNL storage on 2019-01-01 (matches CATS time-series epoch); head_m=NID dam_height_m fallback (sanctioned substitution; no EHA head for this plant); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (pumped-storage plant (all promoted units PS); reversible Francis is the standard pump-turbine (head 92.96 m, not used for this guess)); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium (fallback: dam height used as head proxy); turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"head_m substituted from NID dam_height_m -- no EHA unit head available; turbine_type guess basis: pumped-storage plant (all promoted units PS); reversible Francis is the standard pump-turbine (head 92.96 m, not used for this guess); hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Spring Creek,450,Spring Creek,0.0,340585294.2,253959100.8,0.745655,172.52,0.0,172.52,FRANCIS,USABLE_VOLUME,0.0,35.65,1974180.0,false,false,"CDEC station WHI, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station WHI storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 172.52 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station WHI, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 172.52 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_Trinity,451,Trinity,0.0,3405482897.2,1799937347.5,0.528541,139.6,0.0,139.6,FRANCIS,USABLE_VOLUME,0.0,69.586,24394600.0,true,false,"CDEC station CLE, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station CLE storage on 2019-01-01 (matches CATS time-series epoch); head_m=NID dam_height_m fallback (sanctioned substitution; no EHA head for this plant); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 139.60 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=CDEC station CLE, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=medium (fallback: dam height used as head proxy); turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"head_m substituted from NID dam_height_m -- no EHA unit head available; turbine_type guess basis: head 139.60 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
