eia_plant_code,plant_name,nid_id,crosswalk_source,crosswalk_confidence,eha_plant_mode,mode_source,mode_confidence,head_m,head_source,head_confidence,nid_storage_acreft,nid_max_storage_acreft,dam_height_m,nid_source,nid_confidence,intake_elevation_m,intake_elevation_source,intake_elevation_confidence,cdec_station,cdec_capacity_acreft,cdec_storage_20190101_acreft,cdec_elevation_20190101_ft,cdec_source,cdec_confidence,dam_name_hilarri,notes
431,Jaybird,CA00815,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,457.2,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,3000.0,2609.0,51.21,"USACE NID Public FeatureServer, dam record 'Junction' (NIDID CA00815)",high,,,,JNC,,2360,4445.99,CDEC station JNC (cdec.water.ca.gov),high,JUNCTION,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station JNC reports no rated capacity in the reservoir-conditions feed
430,Camino,CA00817,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,304.8,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,543.0,543.0,40.54,"USACE NID Public FeatureServer, dam record 'Camino' (NIDID CA00817)",high,,,,CMI,,291,2898.28,CDEC station CMI (cdec.water.ca.gov),high,CAMINO,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station CMI reports no rated capacity in the reservoir-conditions feed
380,Dion R Holm,CA00125,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,,,,273500.0,273500.0,96.01,"USACE NID Public FeatureServer, dam record 'Cherry Valley' (NIDID CA00125)",high,,,,CHV,273500,209885,,CDEC station CHV (cdec.water.ca.gov),high,CHERRY VALLEY,EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
442,Judge F Carr,CA10165,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,175.26,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,14660.0,14660.0,22.25,"USACE NID Public FeatureServer, dam record 'Lewiston Dam' (NIDID CA10165)",high,,,,LEW,14660,14337,1901.57,CDEC station LEW (cdec.water.ca.gov),high,LEWISTON,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
268,Pit 5,CA00402,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,187.45,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,330.0,327.0,17.68,"USACE NID Public FeatureServer, dam record 'Pit No. 5 Diversion' (NIDID CA00402)",high,,,,,,,,,,PIT NO. 5 DIVERSION,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; HILARRI explicitly flags this dam as having NO associated reservoir; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
451,Trinity,CA10196,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,,,,2760870.0,2760870.0,139.6,"USACE NID Public FeatureServer, dam record 'Trinity Dam' (NIDID CA10196)",high,,,,CLE,2447650,1459233,2299.75,CDEC station CLE (cdec.water.ca.gov),high,TRINITY,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
682,Kerckhoff 2,CA00340,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,128.32,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,4252.0,4252.0,34.75,"USACE NID Public FeatureServer, dam record 'Kerckhoff' (NIDID CA00340)",high,,,,,,,,,,KERCKHOFF,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir
240,Haas,CA00411,ORNL HILARRI v4 (HILARRI_v4.csv),high,Intermediate Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,692.2,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,133600.0,133600.0,79.25,"USACE NID Public FeatureServer, dam record 'Wishon Main' (NIDID CA00411)",high,,,,WSN,128300,43799,6446.63,CDEC station WSN (cdec.water.ca.gov),high,WISHON MAIN,"HILARRI returned 2 distinct rows for this EIA code; EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
275,Rock Creek,CA00330,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,146.61,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,4400.0,4400.0,38.4,"USACE NID Public FeatureServer, dam record 'Rock Creek' (NIDID CA00330)",high,,,,,,,,,,ROCK CREEK,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
425,Middle Fork,CA00857,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,638.86,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,207000.0,207000.0,124.97,"USACE NID Public FeatureServer, dam record 'Hell Hole' (NIDID CA00857)",high,,,,HHL,207600,68353,,CDEC station HHL (cdec.water.ca.gov),high,HELL HOLE,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
447,Parker Dam,AZ10312,ORNL HILARRI v4 (HILARRI_v4.csv),high,Intermediate Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,24.38,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,180000.0,180000.0,97.54,"USACE NID Public FeatureServer, dam record 'Parker Dam' (NIDID AZ10312)",high,,,,,,,,,,PARKER,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
219,Belden,CA00413,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,210.31,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,2480.0,2480.0,37.8,"USACE NID Public FeatureServer, dam record 'Belden Forebay' (NIDID CA00413)",high,,,,,,,,,,BELDEN FOREBAY,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir
223,Caribou 2,CA00326,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,335.28,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,49897.0,49897.0,21.34,"USACE NID Public FeatureServer, dam record 'Butt Valley' (NIDID CA00326)",high,,,,BTV,49930,41818,4126.92,CDEC station BTV (cdec.water.ca.gov),high,BUTT VALLEY,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
443,Keswick,CA10160,ORNL HILARRI v4 (HILARRI_v4.csv),high,Intermediate Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,25.6,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,25132.0,25132.0,47.85,"USACE NID Public FeatureServer, dam record 'Keswick Dam' (NIDID CA10160)",high,,,,KES,23772,20758,582.12,CDEC station KES (cdec.water.ca.gov),high,KESWICK,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
382,R C Kirkwood,CA00123,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,,,,360000.0,360000.0,95.1,"USACE NID Public FeatureServer, dam record 'O`Shaughnessy' (NIDID CA00123)",high,,,,HTH,360000,245207,,CDEC station HTH (cdec.water.ca.gov),high,O' SHAUGHNESSY,EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
322,Big Creek 2A,CA00437,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,737.01,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,135568.0,135283.0,54.86,"USACE NID Public FeatureServer, dam record 'Shaver Lake' (NIDID CA00437)",high,,,,SHV,135283,,,CDEC station SHV (cdec.water.ca.gov),medium,SHAVER LAKE,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station SHV exists but reports no data for 2019 (sensor 15 empty all year)
267,Pit 4,CA00397,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,116.43,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,1970.0,1970.0,33.53,"USACE NID Public FeatureServer, dam record 'Pit No. 4 Diversion' (NIDID CA00397)",high,,,,,,,,,,PIT NO. 4 DIVERSION,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
239,Electra,CA00383,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,386.49,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,1259.0,1259.0,38.1,"USACE NID Public FeatureServer, dam record 'Tabeaud' (NIDID CA00383)",high,,,,,,,,,,TABEAUD,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
57729,Lake Hodges Hydroelectric Facility,CA01454,ORNL HILARRI v4 (HILARRI_v4.csv),high,Pumped storage,"ORNL HILARRI v4 (HILARRI_v4.csv, field prjct_type)",low,,,,24900.0,24900.0,94.18,"USACE NID Public FeatureServer, dam record 'Olivenhain' (NIDID CA01454)",high,,,,HDG,,,,CDEC station HDG (cdec.water.ca.gov),medium,OLIVENHAIN,Plant absent from EHA Plant Database FY2026; not covered by EHA at all; Plant absent from EHA Unit Database FY2026; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station HDG exists but reports no data for 2019 (sensor 15 empty all year); CDEC station HDG reports no rated capacity in the reservoir-conditions feed
