eia_plant_code,plant_name,reservoir_name,mean_inflow_m3s,median_inflow_m3s,min_inflow_m3s,max_inflow_m3s,n_days_2019,inflow_source,source_station_id,confidence,notes
344,Mammoth Pool,Reservoir_Mammoth Pool,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
380,Dion R Holm,Reservoir_Dion R Holm,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
382,R C Kirkwood,Reservoir_R C Kirkwood,20.2,5.975,0.219,132.523,365,"USGS NWIS site 11274790, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31",USGS-11274790,medium,"TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY -- explicitly 'above Hetch Hetchy', standard long-term primary-inflow gauge for Hetch Hetchy Reservoir (O'Shaughnessy Dam); drainage area 3813.65 sq mi. Full 365-day 2019 series."
425,Middle Fork,Reservoir_Middle Fork,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
430,Camino,Reservoir_Camino,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
431,Jaybird,Reservoir_Jaybird,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
436,Devil Canyon,Reservoir_Devil Canyon,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
437,Edward C Hyatt,Reservoir_Edward C Hyatt,235.485,131.249,13.337,1426.914,365,"CDEC station ORO, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",ORO,high,full 365-day 2019 series
439,Don Pedro,Reservoir_Don Pedro,109.589,60.4,0.368,608.642,356,"CDEC station DNP, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",DNP,high,"356 of 365 days present; 1 day(s) missing ('---' in CDEC feed); 8 day(s) excluded for negative computed inflow (CDEC mass-balance noise artifact, not a real reverse flow)"
441,Folsom,Reservoir_Folsom,163.089,98.996,13.819,1060.579,365,"CDEC station FOL, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",FOL,high,full 365-day 2019 series
442,Judge F Carr,Reservoir_Judge F Carr,46.843,27.241,4.531,265.159,365,"CDEC station LEW, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",LEW,high,full 365-day 2019 series
443,Keswick,Reservoir_Keswick,284.042,227.866,76.597,1190.78,365,"CDEC station KES, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",KES,high,full 365-day 2019 series
445,Shasta,Reservoir_Shasta,288.44,168.669,45.307,2541.522,364,"CDEC station SHA, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",SHA,high,"364 of 365 days present; 1 day(s) excluded for negative computed inflow (CDEC mass-balance noise artifact, not a real reverse flow)"
447,Parker Dam,Reservoir_Parker Dam,317.779,342.634,78.438,487.05,365,"USGS NWIS site 09423000, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31",USGS-09423000,medium,"COLORADO RIVER BELOW DAVIS DAM, AZ-NV -- approximation, not immediately upstream: ~150 river miles above Parker Dam/Lake Havasu via the Bullhead City/Topock reach; Bill Williams River joins in between (usually minor). Used because Parker Dam has no dedicated inflow gauge and the Colorado is fully regulated by Hoover/Davis releases in this reach. Full 365-day 2019 series."
448,W R Gianelli,Reservoir_W R Gianelli,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
450,Spring Creek,Reservoir_Spring Creek,35.65,32.253,0.283,342.237,365,"CDEC station WHI, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",WHI,high,full 365-day 2019 series
451,Trinity,Reservoir_Trinity,69.586,34.688,0.057,520.718,337,"CDEC station CLE, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",CLE,high,"337 of 365 days present; 28 day(s) excluded for negative computed inflow (CDEC mass-balance noise artifact, not a real reverse flow)"
454,Colgate,Reservoir_Colgate,67.155,32.366,0.227,460.29,365,"CDEC station BUL, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",BUL,high,full 365-day 2019 series
682,Kerckhoff 2,Reservoir_Kerckhoff 2,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
6158,New Melones,Reservoir_New Melones,70.538,46.808,3.426,377.605,365,"CDEC station NML, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",NML,high,full 365-day 2019 series
7907,Pine Flat,Reservoir_Pine Flat,112.668,69.234,11.298,480.48,364,"CDEC station PNF, sensor 76 (RESERVOIR INFLOW, CFS), CSVDataServlet, daily, 2019-01-01 to 2019-12-31",PNF,high,364 of 365 days present; 1 day(s) missing ('---' in CDEC feed)
57729,Lake Hodges Hydroelectric Facility,Reservoir_Lake Hodges Hydroelectric Facility,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
