row_index,new_name,FuelType,current_pm,eia_pm,changed
200,El Centro Hybrid_2,Natural Gas Fired Combined Cycle,CT,CA,true
201,El Centro Hybrid_2A,Natural Gas Fired Combined Cycle,CT,CT,false
202,El Centro Hybrid_30,Natural Gas Fired Combined Cycle,CT,CA,true
203,El Centro Hybrid_31,Natural Gas Fired Combined Cycle,CT,CT,false
204,El Centro Hybrid_32,Natural Gas Fired Combined Cycle,CT,CT,false
205,El Centro Hybrid_4,Natural Gas Steam Turbine,ST,ST,false
206,El Centro Hybrid_BESS,Batteries,BA,BA,false
207,Big Pine Creek_1,Conventional Hydroelectric,HA,HY,true
208,Foothill_1,Conventional Hydroelectric,HA,HY,true
209,Franklin (CA)_1,Conventional Hydroelectric,HA,HY,true
210,Haiwee_1,Conventional Hydroelectric,HA,HY,true
211,Haiwee_2,Conventional Hydroelectric,HA,HY,true
212,Harbor_10A,Natural Gas Fired Combined Cycle,CT,CT,false
213,Harbor_10B,Natural Gas Fired Combined Cycle,CT,CT,false
214,Harbor_5,Natural Gas Fired Combined Cycle,CT,CA,true
215,Harbor_GT10,Natural Gas Fired Combustion Turbine,GT,GT,false
216,Harbor_GT11,Natural Gas Fired Combustion Turbine,GT,GT,false
217,Harbor_GT12,Natural Gas Fired Combustion Turbine,GT,GT,false
218,Harbor_GT13,Natural Gas Fired Combustion Turbine,GT,GT,false
219,Harbor_GT14,Natural Gas Fired Combustion Turbine,GT,GT,false
220,Haynes_1,Natural Gas Steam Turbine,ST,ST,false
221,Haynes_10,Natural Gas Fired Combined Cycle,CT,CT,false
222,Haynes_11,Natural Gas Fired Combustion Turbine,GT,GT,false
223,Haynes_12,Natural Gas Fired Combustion Turbine,GT,GT,false
224,Haynes_13,Natural Gas Fired Combustion Turbine,GT,GT,false
225,Haynes_14,Natural Gas Fired Combustion Turbine,GT,GT,false
226,Haynes_15,Natural Gas Fired Combustion Turbine,GT,GT,false
227,Haynes_16,Natural Gas Fired Combustion Turbine,GT,GT,false
228,Haynes_2,Natural Gas Steam Turbine,ST,ST,false
229,Haynes_8,Natural Gas Fired Combined Cycle,CT,CA,true
230,Haynes_9,Natural Gas Fired Combined Cycle,CT,CT,false
231,Middle Gorge_1,Conventional Hydroelectric,HA,HY,true
232,San Fernando_1,Conventional Hydroelectric,HA,HY,true
233,San Fernando_2,Conventional Hydroelectric,HA,HY,true
234,Scattergood_1,Natural Gas Steam Turbine,ST,ST,false
235,Scattergood_2,Natural Gas Steam Turbine,ST,ST,false
236,Scattergood_4,Natural Gas Fired Combined Cycle,CT,CT,false
237,Scattergood_5,Natural Gas Fired Combined Cycle,CT,CA,true
238,Scattergood_6,Natural Gas Fired Combustion Turbine,GT,GT,false
239,Scattergood_7,Natural Gas Fired Combustion Turbine,GT,GT,false
240,Upper Gorge_1,Conventional Hydroelectric,HA,HY,true
241,Valley (CA)_5,Natural Gas Fired Combustion Turbine,GT,GT,false
242,Valley (CA)_6,Natural Gas Fired Combined Cycle,CT,CT,false
243,Valley (CA)_7,Natural Gas Fired Combined Cycle,CT,CT,false
244,Valley (CA)_8,Natural Gas Fired Combined Cycle,CT,CA,true
245,McSwain_1,Conventional Hydroelectric,HA,HY,true
246,Chicago Park_2P,Conventional Hydroelectric,HA,HY,true
247,Dutch Flat 2_3P,Conventional Hydroelectric,HA,HY,true
248,Beardsley_1,Conventional Hydroelectric,HA,HY,true
249,Donnells_H1,Conventional Hydroelectric,HA,HY,true
250,Tulloch_1,Conventional Hydroelectric,HA,HY,true
251,Tulloch_2,Conventional Hydroelectric,HA,HY,true
252,Tulloch_3,Conventional Hydroelectric,HA,HY,true
253,Kelly Ridge_1,Conventional Hydroelectric,HA,HY,true
254,Glenarm_GT1,Natural Gas Fired Combustion Turbine,GT,GT,false
255,Glenarm_GT2,Natural Gas Fired Combustion Turbine,GT,GT,false
256,Glenarm_GT3,Natural Gas Fired Combustion Turbine,GT,GT,false
257,Glenarm_GT4,Natural Gas Fired Combustion Turbine,GT,GT,false
258,Glenarm_GT5,Natural Gas Fired Combined Cycle,CT,CT,false
259,Glenarm_ST1,Natural Gas Fired Combined Cycle,CT,CA,true
260,French Meadows_1,Conventional Hydroelectric,HA,HY,true
261,Middle Fork_1,Conventional Hydroelectric,HA,HY,true
262,Middle Fork_2,Conventional Hydroelectric,HA,HY,true
263,Oxbow (CA)_1,Conventional Hydroelectric,HA,HY,true
264,Ralston_1,Conventional Hydroelectric,HA,HY,true
265,Camino_H1,Conventional Hydroelectric,HA,HY,true
266,Camino_H2,Conventional Hydroelectric,HA,HY,true
267,Jaybird_H1,Conventional Hydroelectric,HA,HY,true
268,Jaybird_H2,Conventional Hydroelectric,HA,HY,true
269,Loon Lake_H1,Conventional Hydroelectric,HA,HY,true
270,Robbs Peak_1,Conventional Hydroelectric,HA,HY,true
271,Devil Canyon_1,Conventional Hydroelectric,HA,HY,true
272,Devil Canyon_2,Conventional Hydroelectric,HA,HY,true
273,Devil Canyon_3,Conventional Hydroelectric,HA,HY,true
274,Devil Canyon_4,Conventional Hydroelectric,HA,HY,true
275,Edward C Hyatt_1,Conventional Hydroelectric,HA,HY,true
276,Edward C Hyatt_2,Hydroelectric Pumped Storage,HY,PS,true
277,Edward C Hyatt_3,Conventional Hydroelectric,HA,HY,true
278,Edward C Hyatt_4,Hydroelectric Pumped Storage,HY,PS,true
279,Edward C Hyatt_5,Conventional Hydroelectric,HA,HY,true
280,Edward C Hyatt_6,Hydroelectric Pumped Storage,HY,PS,true
281,Don Pedro_1,Conventional Hydroelectric,HA,HY,true
282,Don Pedro_2,Conventional Hydroelectric,HA,HY,true
283,Don Pedro_3,Conventional Hydroelectric,HA,HY,true
284,Don Pedro_4,Conventional Hydroelectric,HA,HY,true
285,Folsom_1,Conventional Hydroelectric,HA,HY,true
286,Folsom_2,Conventional Hydroelectric,HA,HY,true
287,Folsom_3,Conventional Hydroelectric,HA,HY,true
288,Judge F Carr_1,Conventional Hydroelectric,HA,HY,true
289,Judge F Carr_2,Conventional Hydroelectric,HA,HY,true
290,Keswick_1,Conventional Hydroelectric,HA,HY,true
291,Keswick_2,Conventional Hydroelectric,HA,HY,true
292,Keswick_3,Conventional Hydroelectric,HA,HY,true
293,Nimbus_1,Conventional Hydroelectric,HA,HY,true
294,Nimbus_2,Conventional Hydroelectric,HA,HY,true
295,Shasta_1,Conventional Hydroelectric,HA,HY,true
296,Shasta_2,Conventional Hydroelectric,HA,HY,true
297,Shasta_3,Conventional Hydroelectric,HA,HY,true
298,Shasta_4,Conventional Hydroelectric,HA,HY,true
299,Shasta_5,Conventional Hydroelectric,HA,HY,true
300,Shasta_S1,Conventional Hydroelectric,HA,HY,true
301,Shasta_S2,Conventional Hydroelectric,HA,HY,true
302,Parker Dam_1,Conventional Hydroelectric,HA,HY,true
303,Parker Dam_2,Conventional Hydroelectric,HA,HY,true
304,Parker Dam_3,Conventional Hydroelectric,HA,HY,true
305,Parker Dam_4,Conventional Hydroelectric,HA,HY,true
306,W R Gianelli_1,Hydroelectric Pumped Storage,HY,PS,true
307,W R Gianelli_2,Hydroelectric Pumped Storage,HY,PS,true
308,W R Gianelli_3,Hydroelectric Pumped Storage,HY,PS,true
309,W R Gianelli_4,Hydroelectric Pumped Storage,HY,PS,true
310,W R Gianelli_5,Hydroelectric Pumped Storage,HY,PS,true
311,W R Gianelli_6,Hydroelectric Pumped Storage,HY,PS,true
312,W R Gianelli_7,Hydroelectric Pumped Storage,HY,PS,true
313,W R Gianelli_8,Hydroelectric Pumped Storage,HY,PS,true
314,Spring Creek_1,Conventional Hydroelectric,HA,HY,true
315,Spring Creek_2,Conventional Hydroelectric,HA,HY,true
316,Trinity_1,Conventional Hydroelectric,HA,HY,true
317,Trinity_2,Conventional Hydroelectric,HA,HY,true
318,Colgate_1,Conventional Hydroelectric,HA,HY,true
319,Colgate_2,Conventional Hydroelectric,HA,HY,true
320,Bear Valley_HC1,Conventional Hydroelectric,HA,HY,true
321,Bear Valley_HC2,Conventional Hydroelectric,HA,HY,true
322,Temescal_1,Conventional Hydroelectric,HA,HY,true
323,Corona_1,Conventional Hydroelectric,HA,HY,true
324,Perris_1,Conventional Hydroelectric,HA,HY,true
325,Rio Hondo_1,Conventional Hydroelectric,HA,HY,true
326,Coyote Creek_1,Conventional Hydroelectric,HA,HY,true
327,Valley View_1,Conventional Hydroelectric,HA,HY,true
328,Jones Fork_1,Conventional Hydroelectric,HA,HY,true
329,Camanche_1,Conventional Hydroelectric,HA,HY,true
330,Camanche_2,Conventional Hydroelectric,HA,HY,true
331,Camanche_3,Conventional Hydroelectric,HA,HY,true
332,Drop 1_1,Conventional Hydroelectric,HA,HY,true
333,Drop 1_2,Conventional Hydroelectric,HA,HY,true
334,Drop 1_3,Conventional Hydroelectric,HA,HY,true
335,East Highline_1,Conventional Hydroelectric,HA,HY,true
336,Oak Flat_1,Conventional Hydroelectric,HA,HY,true
337,Newcastle_1,Conventional Hydroelectric,HA,HY,true
338,Kerckhoff 2_1,Conventional Hydroelectric,HA,HY,true
339,Etiwanda_1,Conventional Hydroelectric,HA,HY,true
340,Sly Creek_1,Conventional Hydroelectric,HA,HY,true
341,Scott Flat_7P,Conventional Hydroelectric,HA,HY,true
342,Bottle Rock Power_1,Geothermal,ST,ST,false
343,Alamo_1,Conventional Hydroelectric,HA,HY,true
344,Walnut_1,Natural Gas Fired Combustion Turbine,GT,GT,false
345,Walnut_2,Natural Gas Fired Combustion Turbine,GT,GT,false
346,Coachella_1,Natural Gas Fired Combustion Turbine,GT,GT,false
347,Coachella_2,Natural Gas Fired Combustion Turbine,GT,GT,false
348,Coachella_3,Natural Gas Fired Combustion Turbine,GT,GT,false
349,Coachella_4,Natural Gas Fired Combustion Turbine,GT,GT,false
350,Diablo Canyon_1,Nuclear,ST,ST,false
351,Diablo Canyon_2,Nuclear,ST,ST,false
352,New Melones_1,Conventional Hydroelectric,HA,HY,true
353,New Melones_2,Conventional Hydroelectric,HA,HY,true
354,W E Warne_1,Conventional Hydroelectric,HA,HY,true
355,W E Warne_2,Conventional Hydroelectric,HA,HY,true
356,Dynegy Oakland Power Plant_GEN1,Petroleum Liquids,IC,GT,true
357,Dynegy Oakland Power Plant_GEN2,Petroleum Liquids,IC,GT,true
358,Dynegy Oakland Power Plant_GEN3,Petroleum Liquids,IC,GT,true
359,Azusa_1,Conventional Hydroelectric,HA,HY,true
360,San Francisquito 2_1,Conventional Hydroelectric,HA,HY,true
361,San Francisquito 2_2,Conventional Hydroelectric,HA,HY,true
362,San Francisquito 2_3,Conventional Hydroelectric,HA,HY,true
363,Kings Beach_KB1,Petroleum Liquids,IC,IC,false
364,Kings Beach_KB2,Petroleum Liquids,IC,IC,false
365,Kings Beach_KB3,Petroleum Liquids,IC,IC,false
366,Kings Beach_KB4,Petroleum Liquids,IC,IC,false
367,Kings Beach_KB5,Petroleum Liquids,IC,IC,false
368,Kings Beach_KB6,Petroleum Liquids,IC,IC,false
369,Union Valley_1,Conventional Hydroelectric,HA,HY,true
370,Greg Avenue_1,Conventional Hydroelectric,HA,HY,true
371,Lake Mathews_1,Conventional Hydroelectric,HA,HY,true
372,Foothill Feeder_1,Conventional Hydroelectric,HA,HY,true
373,Foothill Feeder_2,Conventional Hydroelectric,HA,HY,true
374,San Dimas_1,Conventional Hydroelectric,HA,HY,true
375,Yorba Linda_1,Conventional Hydroelectric,HA,HY,true
376,Stampede_1,Conventional Hydroelectric,HA,HY,true
377,Stampede_2,Conventional Hydroelectric,HA,HY,true
378,Mojave Siphon_1,Conventional Hydroelectric,HA,HY,true
379,Mojave Siphon_2,Conventional Hydroelectric,HA,HY,true
380,Mojave Siphon_3,Conventional Hydroelectric,HA,HY,true
381,Thermalito Diverson Dam_TD1,Conventional Hydroelectric,HA,HY,true
382,Mill Creek 3_3,Conventional Hydroelectric,HA,HY,true
383,Mill Creek 3_4,Conventional Hydroelectric,HA,HY,true
384,Mill Creek 3_5,Conventional Hydroelectric,HA,HY,true
385,Stony Gorge_1,Conventional Hydroelectric,HA,HY,true
386,Stony Gorge_2,Conventional Hydroelectric,HA,HY,true
387,Whiskeytown_1,Conventional Hydroelectric,HA,HY,true
388,Santa Clara Cogen_1,Natural Gas Fired Combustion Turbine,GT,GT,false
389,Santa Clara Cogen_2,Natural Gas Fired Combustion Turbine,GT,GT,false
390,Woodland_2,Natural Gas Fired Combined Cycle,CT,CA,true
391,Woodland_3,Natural Gas Fired Combined Cycle,CT,CT,false
392,Woodland_3A,Natural Gas Internal Combustion Engine,IC,IC,false
393,Woodland_3B,Natural Gas Internal Combustion Engine,IC,IC,false
394,Woodland_3C,Natural Gas Internal Combustion Engine,IC,IC,false
395,Woodland_3D,Natural Gas Internal Combustion Engine,IC,IC,false
396,Woodland_3E,Natural Gas Internal Combustion Engine,IC,IC,false
397,Woodland_3F,Natural Gas Internal Combustion Engine,IC,IC,false
398,Woodland_NA1,Natural Gas Fired Combustion Turbine,GT,GT,false
399,Redding Power_1,Natural Gas Fired Combustion Turbine,GT,GT,false
400,Redding Power_2,Natural Gas Fired Combustion Turbine,GT,GT,false
401,Redding Power_3,Natural Gas Fired Combustion Turbine,GT,GT,false
402,Redding Power_4,Natural Gas Fired Combined Cycle,CT,CA,true
403,Redding Power_5,Natural Gas Fired Combined Cycle,CT,CT,false
404,Redding Power_6,Natural Gas Fired Combined Cycle,CT,CT,false
405,Grizzly_NA1,Conventional Hydroelectric,HA,HY,true
406,Geothermal 1_1,Geothermal,ST,ST,false
407,Geothermal 1_2,Geothermal,ST,ST,false
408,Vernon_JH1,Petroleum Liquids,IC,IC,false
409,Vernon_JH2,Petroleum Liquids,IC,IC,false
410,Vernon_JH3,Petroleum Liquids,IC,IC,false
411,Vernon_JH4,Petroleum Liquids,IC,IC,false
412,Vernon_JH5,Petroleum Liquids,IC,IC,false
413,Combustion Turbine Project No 2_NA1,Natural Gas Fired Combustion Turbine,GT,GT,false
414,Alameda_1,Natural Gas Fired Combustion Turbine,GT,GT,false
415,Alameda_2,Natural Gas Fired Combustion Turbine,GT,GT,false
416,Deadwood Creek_1,Conventional Hydroelectric,HA,HY,true
417,Solano Wind_1,Onshore Wind Turbine,WT,WT,false
418,Solano Wind_2,Onshore Wind Turbine,WT,WT,false
419,Solano Wind_2B,Onshore Wind Turbine,WT,WT,false
420,Solano Wind_3,Onshore Wind Turbine,WT,WT,false
421,SCA Cogen 2_CCST,Natural Gas Fired Combined Cycle,CT,CA,true
422,SCA Cogen 2_CT1A,Natural Gas Fired Combined Cycle,CT,CT,false
