row_index,old_name,PlantCode,GenID,new_name,source
56,gen-56,253,1,Kilarc_1,eia_exact
57,gen-57,258,1,Merced Falls_1,eia_exact
58,gen-58,260,CT1A,Dynegy Moss Landing Power Plant Hybrid_CT1A,eia_exact
59,gen-59,260,CT1B,Dynegy Moss Landing Power Plant Hybrid_CT1B,eia_exact
60,gen-60,260,CT2A,Dynegy Moss Landing Power Plant Hybrid_CT2A,eia_exact
61,gen-61,260,CT2B,Dynegy Moss Landing Power Plant Hybrid_CT2B,eia_exact
62,gen-62,260,ST1,Dynegy Moss Landing Power Plant Hybrid_ST1,eia_exact
63,gen-63,260,ST2,Dynegy Moss Landing Power Plant Hybrid_ST2,eia_exact
64,gen-64,261,1,Murphys_1,eia_exact
65,gen-65,264,1,Phoenix_1,eia_exact
66,gen-66,265,H1,Pit 1_H1,eia_exact
67,gen-67,265,H2,Pit 1_H2,eia_exact
68,gen-68,267,1,Pit 4_1,eia_exact
69,gen-69,267,2,Pit 4_2,eia_exact
70,gen-70,268,H1,Pit 5_H1,eia_exact
71,gen-71,268,H2,Pit 5_H2,eia_exact
72,gen-72,268,H3,Pit 5_H3,eia_exact
73,gen-73,268,H4,Pit 5_H4,eia_exact
74,gen-74,269,H1,Pit 6_H1,eia_exact
75,gen-75,269,H2,Pit 6_H2,eia_exact
76,gen-76,274,1,Potter Valley_1,eia_exact
77,gen-77,274,2,Potter Valley_2,eia_exact
78,gen-78,274,3,Potter Valley_3,eia_exact
79,gen-79,275,H1,Rock Creek_H1,eia_exact
80,gen-80,275,H2,Rock Creek_H2,eia_exact
81,gen-81,279,1,Salt Springs_1,eia_exact
82,gen-82,279,2,Salt Springs_2,eia_exact
83,gen-83,280,1,South_1,eia_exact
84,gen-84,281,1,Spaulding 1_1,eia_exact
85,gen-85,282,1,Spaulding 2_1,eia_exact
86,gen-86,283,1,Spaulding 3_1,eia_exact
87,gen-87,284,1,Spring Gap_1,eia_exact
88,gen-88,285,HC1,Stanislaus_HC1,eia_exact
89,gen-89,287,H1,Tiger Creek_H1,eia_exact
90,gen-90,287,H2,Tiger Creek_H2,eia_exact
91,gen-91,289,1,Tule River_1,eia_exact
92,gen-92,289,2,Tule River_2,eia_exact
93,gen-93,290,1,Volta 1_1,eia_exact
94,gen-94,291,1,West Point PH_1,eia_exact
95,gen-95,292,1,Wise_1,eia_exact
96,gen-96,292,2,Wise_2,eia_exact
97,gen-97,294,1,Copco 1_1,eia_exact
98,gen-98,294,2,Copco 1_2,eia_exact
99,gen-99,295,1,Copco 2_1,eia_exact
100,gen-100,295,2,Copco 2_2,eia_exact
101,gen-101,296,1,Fall Creek_1,eia_exact
102,gen-102,296,2,Fall Creek_2,eia_exact
103,gen-103,296,3,Fall Creek_3,eia_exact
104,gen-104,297,1,Iron Gate_1,eia_exact
105,gen-105,314,1,Drop 5_1,eia_exact
106,gen-106,314,2,Drop 5_2,eia_exact
107,gen-107,315,3,AES Alamitos LLC_3,eia_exact
108,gen-108,315,4,AES Alamitos LLC_4,eia_exact
109,gen-109,315,5,AES Alamitos LLC_5,eia_exact
110,gen-110,318,3,Big Creek 2_3,eia_exact
111,gen-111,318,4,Big Creek 2_4,eia_exact
112,gen-112,318,5,Big Creek 2_5,eia_exact
113,gen-113,318,6,Big Creek 2_6,eia_exact
114,gen-114,319,1,Big Creek 3_1,eia_exact
115,gen-115,319,2,Big Creek 3_2,eia_exact
116,gen-116,319,3,Big Creek 3_3,eia_exact
117,gen-117,319,4,Big Creek 3_4,eia_exact
118,gen-118,319,5,Big Creek 3_5,eia_exact
119,gen-119,321,1,Big Creek 8_1,eia_exact
120,gen-120,321,2,Big Creek 8_2,eia_exact
121,gen-121,322,1,Big Creek 2A_1,eia_exact
122,gen-122,322,2,Big Creek 2A_2,eia_exact
123,gen-123,323,1,Bishop Creek 2_1,eia_exact
124,gen-124,323,2,Bishop Creek 2_2,eia_exact
125,gen-125,323,3,Bishop Creek 2_3,eia_exact
126,gen-126,324,1,Bishop Creek 3_1,eia_exact
127,gen-127,324,2,Bishop Creek 3_2,eia_exact
128,gen-128,324,3,Bishop Creek 3_3,eia_exact
129,gen-129,325,1,Bishop Creek 4_1,eia_exact
130,gen-130,325,2,Bishop Creek 4_2,eia_exact
131,gen-131,325,3,Bishop Creek 4_3,eia_exact
132,gen-132,325,4,Bishop Creek 4_4,eia_exact
133,gen-133,325,5,Bishop Creek 4_5,eia_exact
134,gen-134,326,1,Bishop Creek 5_1,eia_exact
135,gen-135,326,2,Bishop Creek 5_2,eia_exact
136,gen-136,327,1,Bishop Creek 6_1,eia_exact
137,gen-137,328,1,Borel_1,eia_exact
138,gen-138,328,2,Borel_2,eia_exact
139,gen-139,328,3,Borel_3,eia_exact
140,gen-140,332,1,Fontana_1,eia_exact
141,gen-141,332,2,Fontana_2,eia_exact
142,gen-142,335,2,AES Huntington Beach LLC_2,eia_exact
143,gen-143,337,1,Kaweah 1_1,eia_exact
144,gen-144,339,1,Kern River 3_1,eia_exact
145,gen-145,339,2,Kern River 3_2,eia_exact
146,gen-146,340,1,Kern River 1_1,eia_exact
147,gen-147,340,2,Kern River 1_2,eia_exact
148,gen-148,340,3,Kern River 1_3,eia_exact
149,gen-149,340,4,Kern River 1_4,eia_exact
150,gen-150,341,CT1,Long Beach Generation LLC_CT1,eia_exact
151,gen-151,341,CT2,Long Beach Generation LLC_CT2,eia_exact
152,gen-152,341,CT3,Long Beach Generation LLC_CT3,eia_exact
153,gen-153,341,CT4,Long Beach Generation LLC_CT4,eia_exact
154,gen-154,344,1,Mammoth Pool_1,eia_exact
155,gen-155,344,2,Mammoth Pool_2,eia_exact
156,gen-156,350,1,Ormond Beach_1,eia_exact
157,gen-157,350,2,Ormond Beach_2,eia_exact
158,gen-158,353,1,Poole_1,eia_exact
159,gen-159,356,5,AES Redondo Beach LLC_5,eia_exact
160,gen-160,356,6,AES Redondo Beach LLC_6,eia_exact
161,gen-161,356,8,AES Redondo Beach LLC_8,eia_exact
162,gen-162,357,1,Rush Creek_1,eia_exact
163,gen-163,357,2,Rush Creek_2,eia_exact
164,gen-164,358,MV3A,Mountainview Generating Station_MV3A,eia_exact
165,gen-165,358,MV3B,Mountainview Generating Station_MV3B,eia_exact
166,gen-166,358,MV3C,Mountainview Generating Station_MV3C,eia_exact
167,gen-167,358,MV4A,Mountainview Generating Station_MV4A,eia_exact
168,gen-168,358,MV4B,Mountainview Generating Station_MV4B,eia_exact
169,gen-169,358,MV4C,Mountainview Generating Station_MV4C,eia_exact
170,gen-170,361,1,Santa Ana 1_1,eia_exact
171,gen-171,361,2,Santa Ana 1_2,eia_exact
172,gen-172,361,3,Santa Ana 1_3,eia_exact
173,gen-173,361,4,Santa Ana 1_4,eia_exact
174,gen-174,365,1,Lower Tule River_1,eia_exact
175,gen-175,365,2,Lower Tule River_2,eia_exact
176,gen-176,376,1,Pardee_1,eia_exact
177,gen-177,376,2,Pardee_2,eia_exact
178,gen-178,376,3,Pardee_3,eia_exact
179,gen-179,377,1,Grayson_1,eia_exact
180,gen-180,377,2,Grayson_2,eia_exact
181,gen-181,377,3,Grayson_3,eia_exact
182,gen-182,377,4,Grayson_4,eia_exact
183,gen-183,377,5,Grayson_5,eia_exact
184,gen-184,377,8A,Grayson_8A,eia_exact
185,gen-185,377,8BC,Grayson_8BC,eia_exact
186,gen-186,377,9,Grayson_9,eia_exact
187,gen-187,380,1,Dion R Holm_1,eia_exact
188,gen-188,380,2,Dion R Holm_2,eia_exact
189,gen-189,382,1,R C Kirkwood_1,eia_exact
190,gen-190,382,2,R C Kirkwood_2,eia_exact
191,gen-191,382,3,R C Kirkwood_3,eia_exact
192,gen-192,385,1,Drop 2 (CA)_1,eia_exact
193,gen-193,385,2,Drop 2 (CA)_2,eia_exact
194,gen-194,386,1,Drop 3 (CA)_1,eia_exact
195,gen-195,386,2,Drop 3 (CA)_2,eia_exact
196,gen-196,387,1,Drop 4_1,eia_exact
197,gen-197,387,2,Drop 4_2,eia_exact
198,gen-198,388,1,Pilot Knob_1,eia_exact
199,gen-199,388,2,Pilot Knob_2,eia_exact
200,gen-200,389,2,El Centro Hybrid_2,eia_exact
201,gen-201,389,2A,El Centro Hybrid_2A,eia_exact
202,gen-202,389,30,El Centro Hybrid_30,eia_exact
203,gen-203,389,31,El Centro Hybrid_31,eia_exact
204,gen-204,389,32,El Centro Hybrid_32,eia_exact
205,gen-205,389,4,El Centro Hybrid_4,eia_exact
206,gen-206,389,BESS,El Centro Hybrid_BESS,eia_exact
207,gen-207,391,1,Big Pine Creek_1,eia_exact
208,gen-208,396,1,Foothill_1,eia_exact
209,gen-209,397,1,Franklin (CA)_1,eia_exact
210,gen-210,398,1,Haiwee_1,eia_exact
211,gen-211,398,2,Haiwee_2,eia_exact
212,gen-212,399,10A,Harbor_10A,eia_exact
213,gen-213,399,10B,Harbor_10B,eia_exact
214,gen-214,399,5,Harbor_5,eia_exact
215,gen-215,399,GT10,Harbor_GT10,eia_exact
216,gen-216,399,GT11,Harbor_GT11,eia_exact
217,gen-217,399,GT12,Harbor_GT12,eia_exact
218,gen-218,399,GT13,Harbor_GT13,eia_exact
219,gen-219,399,GT14,Harbor_GT14,eia_exact
220,gen-220,400,1,Haynes_1,eia_exact
221,gen-221,400,10,Haynes_10,eia_exact
222,gen-222,400,11,Haynes_11,eia_exact
223,gen-223,400,12,Haynes_12,eia_exact
224,gen-224,400,13,Haynes_13,eia_exact
225,gen-225,400,14,Haynes_14,eia_exact
226,gen-226,400,15,Haynes_15,eia_exact
227,gen-227,400,16,Haynes_16,eia_exact
228,gen-228,400,2,Haynes_2,eia_exact
229,gen-229,400,8,Haynes_8,eia_exact
230,gen-230,400,9,Haynes_9,eia_exact
231,gen-231,401,1,Middle Gorge_1,eia_exact
232,gen-232,403,1,San Fernando_1,eia_exact
233,gen-233,403,2,San Fernando_2,eia_exact
234,gen-234,404,1,Scattergood_1,eia_exact
235,gen-235,404,2,Scattergood_2,eia_exact
236,gen-236,404,4,Scattergood_4,eia_exact
237,gen-237,404,5,Scattergood_5,eia_exact
238,gen-238,404,6,Scattergood_6,eia_exact
239,gen-239,404,7,Scattergood_7,eia_exact
240,gen-240,407,1,Upper Gorge_1,eia_exact
241,gen-241,408,5,Valley (CA)_5,eia_exact
242,gen-242,408,6,Valley (CA)_6,eia_exact
243,gen-243,408,7,Valley (CA)_7,eia_exact
244,gen-244,408,8,Valley (CA)_8,eia_exact
245,gen-245,410,1,McSwain_1,eia_exact
246,gen-246,412,2P,Chicago Park_2P,eia_exact
247,gen-247,413,3P,Dutch Flat 2_3P,eia_exact
248,gen-248,414,1,Beardsley_1,eia_exact
249,gen-249,415,H1,Donnells_H1,eia_exact
250,gen-250,416,1,Tulloch_1,eia_exact
251,gen-251,416,2,Tulloch_2,eia_exact
252,gen-252,416,3,Tulloch_3,eia_exact
253,gen-253,418,1,Kelly Ridge_1,eia_exact
254,gen-254,422,GT1,Glenarm_GT1,eia_exact
255,gen-255,422,GT2,Glenarm_GT2,eia_exact
256,gen-256,422,GT3,Glenarm_GT3,eia_exact
257,gen-257,422,GT4,Glenarm_GT4,eia_exact
258,gen-258,422,GT5,Glenarm_GT5,eia_exact
259,gen-259,422,ST1,Glenarm_ST1,eia_exact
260,gen-260,424,1,French Meadows_1,eia_exact
261,gen-261,425,1,Middle Fork_1,eia_exact
262,gen-262,425,2,Middle Fork_2,eia_exact
263,gen-263,426,1,Oxbow (CA)_1,eia_exact
264,gen-264,427,1,Ralston_1,eia_exact
265,gen-265,430,H1,Camino_H1,eia_exact
266,gen-266,430,H2,Camino_H2,eia_exact
267,gen-267,431,H1,Jaybird_H1,eia_exact
268,gen-268,431,H2,Jaybird_H2,eia_exact
269,gen-269,432,H1,Loon Lake_H1,eia_exact
270,gen-270,433,1,Robbs Peak_1,eia_exact
271,gen-271,436,1,Devil Canyon_1,eia_exact
272,gen-272,436,2,Devil Canyon_2,eia_exact
273,gen-273,436,3,Devil Canyon_3,eia_exact
274,gen-274,436,4,Devil Canyon_4,eia_exact
275,gen-275,437,1,Edward C Hyatt_1,eia_exact
276,gen-276,437,2,Edward C Hyatt_2,eia_exact
277,gen-277,437,3,Edward C Hyatt_3,eia_exact
278,gen-278,437,4,Edward C Hyatt_4,eia_exact
279,gen-279,437,5,Edward C Hyatt_5,eia_exact
280,gen-280,437,6,Edward C Hyatt_6,eia_exact
281,gen-281,439,1,Don Pedro_1,eia_exact
282,gen-282,439,2,Don Pedro_2,eia_exact
283,gen-283,439,3,Don Pedro_3,eia_exact
284,gen-284,439,4,Don Pedro_4,eia_exact
285,gen-285,441,1,Folsom_1,eia_exact
286,gen-286,441,2,Folsom_2,eia_exact
287,gen-287,441,3,Folsom_3,eia_exact
288,gen-288,442,1,Judge F Carr_1,eia_exact
289,gen-289,442,2,Judge F Carr_2,eia_exact
290,gen-290,443,1,Keswick_1,eia_exact
291,gen-291,443,2,Keswick_2,eia_exact
292,gen-292,443,3,Keswick_3,eia_exact
293,gen-293,444,1,Nimbus_1,eia_exact
294,gen-294,444,2,Nimbus_2,eia_exact
295,gen-295,445,1,Shasta_1,eia_exact
296,gen-296,445,2,Shasta_2,eia_exact
297,gen-297,445,3,Shasta_3,eia_exact
298,gen-298,445,4,Shasta_4,eia_exact
299,gen-299,445,5,Shasta_5,eia_exact
300,gen-300,445,S1,Shasta_S1,eia_exact
301,gen-301,445,S2,Shasta_S2,eia_exact
302,gen-302,447,1,Parker Dam_1,eia_exact
303,gen-303,447,2,Parker Dam_2,eia_exact
304,gen-304,447,3,Parker Dam_3,eia_exact
305,gen-305,447,4,Parker Dam_4,eia_exact
306,gen-306,448,1,W R Gianelli_1,eia_exact
307,gen-307,448,2,W R Gianelli_2,eia_exact
308,gen-308,448,3,W R Gianelli_3,eia_exact
309,gen-309,448,4,W R Gianelli_4,eia_exact
310,gen-310,448,5,W R Gianelli_5,eia_exact
311,gen-311,448,6,W R Gianelli_6,eia_exact
312,gen-312,448,7,W R Gianelli_7,eia_exact
313,gen-313,448,8,W R Gianelli_8,eia_exact
314,gen-314,450,1,Spring Creek_1,eia_exact
315,gen-315,450,2,Spring Creek_2,eia_exact
316,gen-316,451,1,Trinity_1,eia_exact
317,gen-317,451,2,Trinity_2,eia_exact
318,gen-318,454,1,Colgate_1,eia_exact
319,gen-319,454,2,Colgate_2,eia_exact
320,gen-320,457,HC1,Bear Valley_HC1,eia_exact
321,gen-321,457,HC2,Bear Valley_HC2,eia_exact
322,gen-322,479,1,Temescal_1,eia_exact
323,gen-323,480,1,Corona_1,eia_exact
324,gen-324,481,1,Perris_1,eia_exact
325,gen-325,482,1,Rio Hondo_1,eia_exact
326,gen-326,483,1,Coyote Creek_1,eia_exact
327,gen-327,487,1,Valley View_1,eia_exact
328,gen-328,534,1,Jones Fork_1,eia_exact
329,gen-329,537,1,Camanche_1,eia_exact
330,gen-330,537,2,Camanche_2,eia_exact
331,gen-331,537,3,Camanche_3,eia_exact
332,gen-332,585,1,Drop 1_1,eia_exact
333,gen-333,585,2,Drop 1_2,eia_exact
334,gen-334,585,3,Drop 1_3,eia_exact
335,gen-335,586,1,East Highline_1,eia_exact
336,gen-336,626,1,Oak Flat_1,eia_exact
337,gen-337,632,1,Newcastle_1,eia_exact
338,gen-338,682,1,Kerckhoff 2_1,eia_exact
339,gen-339,745,1,Etiwanda_1,eia_exact
340,gen-340,776,1,Sly Creek_1,eia_exact
341,gen-341,839,7P,Scott Flat_7P,eia_exact
342,gen-342,902,1,Bottle Rock Power_1,eia_exact
343,gen-343,905,1,Alamo_1,eia_exact
344,gen-344,4256,1,Walnut_1,eia_exact
345,gen-345,4256,2,Walnut_2,eia_exact
346,gen-346,6060,1,Coachella_1,eia_exact
347,gen-347,6060,2,Coachella_2,eia_exact
348,gen-348,6060,3,Coachella_3,eia_exact
349,gen-349,6060,4,Coachella_4,eia_exact
350,gen-350,6099,1,Diablo Canyon_1,eia_exact
351,gen-351,6099,2,Diablo Canyon_2,eia_exact
352,gen-352,6158,1,New Melones_1,eia_exact
353,gen-353,6158,2,New Melones_2,eia_exact
354,gen-354,6196,1,W E Warne_1,eia_exact
355,gen-355,6196,2,W E Warne_2,eia_exact
356,gen-356,6211,GEN1,Dynegy Oakland Power Plant_GEN1,eia_exact
357,gen-357,6211,GEN2,Dynegy Oakland Power Plant_GEN2,eia_exact
358,gen-358,6211,GEN3,Dynegy Oakland Power Plant_GEN3,eia_exact
359,gen-359,6449,1,Azusa_1,eia_exact
360,gen-360,6480,1,San Francisquito 2_1,eia_exact
361,gen-361,6480,2,San Francisquito 2_2,eia_exact
362,gen-362,6480,3,San Francisquito 2_3,eia_exact
363,gen-363,6518,KB1,Kings Beach_KB1,eia_exact
364,gen-364,6518,KB2,Kings Beach_KB2,eia_exact
365,gen-365,6518,KB3,Kings Beach_KB3,eia_exact
366,gen-366,6518,KB4,Kings Beach_KB4,eia_exact
367,gen-367,6518,KB5,Kings Beach_KB5,eia_exact
368,gen-368,6518,KB6,Kings Beach_KB6,eia_exact
369,gen-369,6612,1,Union Valley_1,eia_exact
370,gen-370,6643,1,Greg Avenue_1,eia_exact
371,gen-371,6644,1,Lake Mathews_1,eia_exact
372,gen-372,6645,1,Foothill Feeder_1,eia_exact
373,gen-373,6645,2,Foothill Feeder_2,eia_exact
374,gen-374,6646,1,San Dimas_1,eia_exact
375,gen-375,6647,1,Yorba Linda_1,eia_exact
376,gen-376,7066,1,Stampede_1,eia_exact
377,gen-377,7066,2,Stampede_2,eia_exact
378,gen-378,7072,1,Mojave Siphon_1,eia_exact
379,gen-379,7072,2,Mojave Siphon_2,eia_exact
380,gen-380,7072,3,Mojave Siphon_3,eia_exact
381,gen-381,7129,TD1,Thermalito Diverson Dam_TD1,eia_exact
382,gen-382,7147,3,Mill Creek 3_3,eia_exact
383,gen-383,7147,4,Mill Creek 3_4,eia_exact
384,gen-384,7147,5,Mill Creek 3_5,eia_exact
385,gen-385,7151,1,Stony Gorge_1,eia_exact
386,gen-386,7151,2,Stony Gorge_2,eia_exact
387,gen-387,7189,1,Whiskeytown_1,eia_exact
388,gen-388,7232,1,Santa Clara Cogen_1,eia_exact
389,gen-389,7232,2,Santa Clara Cogen_2,eia_exact
390,gen-390,7266,2,Woodland_2,eia_exact
391,gen-391,7266,3,Woodland_3,eia_exact
392,gen-392,7266,3A,Woodland_3A,eia_exact
393,gen-393,7266,3B,Woodland_3B,eia_exact
394,gen-394,7266,3C,Woodland_3C,eia_exact
395,gen-395,7266,3D,Woodland_3D,eia_exact
396,gen-396,7266,3E,Woodland_3E,eia_exact
397,gen-397,7266,3F,Woodland_3F,eia_exact
398,gen-398,7266,NA1,Woodland_NA1,eia_exact
399,gen-399,7307,1,Redding Power_1,eia_exact
400,gen-400,7307,2,Redding Power_2,eia_exact
401,gen-401,7307,3,Redding Power_3,eia_exact
402,gen-402,7307,4,Redding Power_4,eia_exact
403,gen-403,7307,5,Redding Power_5,eia_exact
404,gen-404,7307,6,Redding Power_6,eia_exact
405,gen-405,7338,NA1,Grizzly_NA1,eia_exact
406,gen-406,7368,1,Geothermal 1_1,eia_exact
407,gen-407,7368,2,Geothermal 1_2,eia_exact
408,gen-408,7436,JH1,Vernon_JH1,eia_exact
409,gen-409,7436,JH2,Vernon_JH2,eia_exact
410,gen-410,7436,JH3,Vernon_JH3,eia_exact
411,gen-411,7436,JH4,Vernon_JH4,eia_exact
412,gen-412,7436,JH5,Vernon_JH5,eia_exact
413,gen-413,7449,NA1,Combustion Turbine Project No 2_NA1,eia_exact
414,gen-414,7450,1,Alameda_1,eia_exact
415,gen-415,7450,2,Alameda_2,eia_exact
416,gen-416,7507,1,Deadwood Creek_1,eia_exact
417,gen-417,7526,1,Solano Wind_1,eia_exact
418,gen-418,7526,2,Solano Wind_2,eia_exact
419,gen-419,7526,2B,Solano Wind_2B,eia_exact
420,gen-420,7526,3,Solano Wind_3,eia_exact
421,gen-421,7551,CCST,SCA Cogen 2_CCST,eia_exact
422,gen-422,7551,CT1A,SCA Cogen 2_CT1A,eia_exact
423,gen-423,7551,CT1B,SCA Cogen 2_CT1B,eia_exact
424,gen-424,7551,CT1C,SCA Cogen 2_CT1C,eia_exact
425,gen-425,7552,CCCT,SPA Cogen 3_CCCT,eia_exact
426,gen-426,7552,CCST,SPA Cogen 3_CCST,eia_exact
427,gen-427,7824,1,Rockwood_1,eia_exact
428,gen-428,7824,2,Rockwood_2,eia_exact
429,gen-429,7907,1,Pine Flat_1,eia_exact
430,gen-430,7907,2,Pine Flat_2,eia_exact
431,gen-431,7907,3,Pine Flat_3,eia_exact
432,gen-432,7911,1,Kern Canyon_1,eia_exact
433,gen-433,7942,10,Diamond Valley Lake_10,eia_exact
434,gen-434,7942,11,Diamond Valley Lake_11,eia_exact
435,gen-435,7942,12,Diamond Valley Lake_12,eia_exact
436,gen-436,7942,2,Diamond Valley Lake_2,eia_exact
437,gen-437,7942,3,Diamond Valley Lake_3,eia_exact
438,gen-438,7942,4,Diamond Valley Lake_4,eia_exact
439,gen-439,7942,6,Diamond Valley Lake_6,eia_exact
440,gen-440,7942,7,Diamond Valley Lake_7,eia_exact
441,gen-441,7942,8,Diamond Valley Lake_8,eia_exact
442,gen-442,7987,L1,Lake One_L1,eia_exact
443,gen-443,8076,1,Ellwood_1,eia_exact
444,gen-444,10005,WTGS,Dinosaur Point_WTGS,eia_exact
445,gen-445,10026,EG10,Encina Water Pollution Control_EG10,eia_exact
446,gen-446,10026,EG20,Encina Water Pollution Control_EG20,eia_exact
447,gen-447,10026,EG30,Encina Water Pollution Control_EG30,eia_exact
448,gen-448,10026,EG40,Encina Water Pollution Control_EG40,eia_exact
449,gen-449,10034,GEN1,Gilroy Power Plant_GEN1,eia_exact
450,gen-450,10034,GEN2,Gilroy Power Plant_GEN2,eia_exact
451,gen-451,10042,KDHT1,Kaweah Delta District Hospital_KDHT1,eia_exact
452,gen-452,10052,GEN1,Fairhaven Power_GEN1,eia_exact
453,gen-453,10091,G2,Total Energy Facilities_G2,eia_exact
454,gen-454,10091,G3,Total Energy Facilities_G3,eia_exact
455,gen-455,10091,GEN1,Total Energy Facilities_GEN1,eia_exact
456,gen-456,10091,GEN4,Total Energy Facilities_GEN4,eia_exact
457,gen-457,10110,GEN1,Frito-Lay Cogen Plant_GEN1,eia_exact
458,gen-458,10115,GEN3,Grossmont Hospital_GEN3,eia_exact
459,gen-459,10128,GEN1,Gosselin Hydro Plant_GEN1,eia_exact
460,gen-460,10128,GEN2,Gosselin Hydro Plant_GEN2,eia_exact
461,gen-461,10139,GEN1,Isabella Hydro Project_GEN1,eia_exact
462,gen-462,10139,GEN2,Isabella Hydro Project_GEN2,eia_exact
463,gen-463,10144,GEN4,Sierra Pacific Lincoln Facility_GEN4,eia_exact
464,gen-464,10169,GEN1,Carson Cogeneration_GEN1,eia_exact
465,gen-465,10169,GEN2,Carson Cogeneration_GEN2,eia_exact
466,gen-466,10175,1711,Childrens Hospital_1711,eia_exact
467,gen-467,10175,5083,Childrens Hospital_5083,eia_exact
468,gen-468,10175,5084,Childrens Hospital_5084,eia_exact
469,gen-469,10175,5085,Childrens Hospital_5085,eia_exact
470,gen-470,10191,EXIS,Tehachapi Wind Resource I_EXIS,eia_exact
471,gen-471,10206,GEN1,Loma Linda University Cogen_GEN1,eia_exact
472,gen-472,10206,GEN2,Loma Linda University Cogen_GEN2,eia_exact
473,gen-473,10213,GEN1,El Segundo Cogen_GEN1,eia_exact
474,gen-474,10213,GEN2,El Segundo Cogen_GEN2,eia_exact
475,gen-475,10213,GEN5,El Segundo Cogen_GEN5,eia_exact
476,gen-476,10213,GEN6,El Segundo Cogen_GEN6,eia_exact
477,gen-477,10213,GEN7,El Segundo Cogen_GEN7,eia_exact
478,gen-478,10213,GEN8,El Segundo Cogen_GEN8,eia_exact
479,gen-479,10288,IS27,Big Valley Power LLC_IS27,eia_exact
480,gen-480,10294,GTG,King City Power Plant_GTG,eia_exact
481,gen-481,10294,STG,King City Power Plant_STG,eia_exact
482,gen-482,10300,GEN1,Desert View Power_GEN1,eia_exact
483,gen-483,10349,GEN1,Greenleaf 2 Power Plant_GEN1,eia_exact
484,gen-484,10387,1A,Sycamore Energy LLC_1A,eia_exact
485,gen-485,10387,2A,Sycamore Energy LLC_2A,eia_exact
486,gen-486,10387,3,Sycamore Energy LLC_3,eia_exact
487,gen-487,10405,GEN1,Kingsburg Cogen_GEN1,eia_exact
488,gen-488,10405,GEN2,Kingsburg Cogen_GEN2,eia_exact
489,gen-489,10427,GEN2,New-Indy Ontario Mill_GEN2,eia_exact
490,gen-490,10427,GEN3,New-Indy Ontario Mill_GEN3,eia_exact
491,gen-491,10437,SUN2,Sunray 2_SUN2,eia_exact
