row_index,new_name,PlantCode,plant_name,plant_type,group_index,cc_unit_code,cc_configuration
38,Hamilton Branch_2,242,Hamilton Branch,HydroPowerPlant,2,,
39,Hat Creek 1_1,243,Hat Creek 1,HydroPowerPlant,1,,
40,Hat Creek 2_1,244,Hat Creek 2,HydroPowerPlant,1,,
41,Humboldt Bay_IC1,246,Humboldt Bay,ThermalPowerPlant,1,,
42,Humboldt Bay_IC10,246,Humboldt Bay,ThermalPowerPlant,2,,
43,Humboldt Bay_IC2,246,Humboldt Bay,ThermalPowerPlant,3,,
44,Humboldt Bay_IC3,246,Humboldt Bay,ThermalPowerPlant,4,,
45,Humboldt Bay_IC4,246,Humboldt Bay,ThermalPowerPlant,5,,
46,Humboldt Bay_IC5,246,Humboldt Bay,ThermalPowerPlant,6,,
47,Humboldt Bay_IC6,246,Humboldt Bay,ThermalPowerPlant,7,,
48,Humboldt Bay_IC7,246,Humboldt Bay,ThermalPowerPlant,8,,
49,Humboldt Bay_IC8,246,Humboldt Bay,ThermalPowerPlant,9,,
50,Humboldt Bay_IC9,246,Humboldt Bay,ThermalPowerPlant,10,,
51,Inskip_1,248,Inskip,HydroPowerPlant,1,,
52,James B Black_1,249,James B Black,HydroPowerPlant,1,,
53,James B Black_2,249,James B Black,HydroPowerPlant,2,,
54,Kerckhoff_H1,250,Kerckhoff,HydroPowerPlant,1,,
55,Kerckhoff_H3,250,Kerckhoff,HydroPowerPlant,2,,
56,Kilarc_1,253,Kilarc,HydroPowerPlant,1,,
57,Merced Falls_1,258,Merced Falls,HydroPowerPlant,1,,
58,Dynegy Moss Landing Power Plant Hybrid_CT1A,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
59,Dynegy Moss Landing Power Plant Hybrid_CT1B,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
60,Dynegy Moss Landing Power Plant Hybrid_CT2A,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,2,CC2,DoubleCombustionOneSteam
61,Dynegy Moss Landing Power Plant Hybrid_CT2B,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,2,CC2,DoubleCombustionOneSteam
62,Dynegy Moss Landing Power Plant Hybrid_ST1,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
63,Dynegy Moss Landing Power Plant Hybrid_ST2,260,Dynegy Moss Landing Power Plant Hybrid,CombinedCycleBlock,2,CC2,DoubleCombustionOneSteam
64,Murphys_1,261,Murphys,HydroPowerPlant,1,,
65,Phoenix_1,264,Phoenix,HydroPowerPlant,1,,
66,Pit 1_H1,265,Pit 1,HydroPowerPlant,1,,
67,Pit 1_H2,265,Pit 1,HydroPowerPlant,2,,
68,Pit 4_1,267,Pit 4,HydroPowerPlant,1,,
69,Pit 4_2,267,Pit 4,HydroPowerPlant,2,,
70,Pit 5_H1,268,Pit 5,HydroPowerPlant,1,,
71,Pit 5_H2,268,Pit 5,HydroPowerPlant,2,,
72,Pit 5_H3,268,Pit 5,HydroPowerPlant,3,,
73,Pit 5_H4,268,Pit 5,HydroPowerPlant,4,,
74,Pit 6_H1,269,Pit 6,HydroPowerPlant,1,,
75,Pit 6_H2,269,Pit 6,HydroPowerPlant,2,,
76,Potter Valley_1,274,Potter Valley,HydroPowerPlant,1,,
77,Potter Valley_2,274,Potter Valley,HydroPowerPlant,2,,
78,Potter Valley_3,274,Potter Valley,HydroPowerPlant,3,,
79,Rock Creek_H1,275,Rock Creek,HydroPowerPlant,1,,
80,Rock Creek_H2,275,Rock Creek,HydroPowerPlant,2,,
81,Salt Springs_1,279,Salt Springs,HydroPowerPlant,1,,
82,Salt Springs_2,279,Salt Springs,HydroPowerPlant,2,,
83,South_1,280,South,HydroPowerPlant,1,,
84,Spaulding 1_1,281,Spaulding 1,HydroPowerPlant,1,,
85,Spaulding 2_1,282,Spaulding 2,HydroPowerPlant,1,,
86,Spaulding 3_1,283,Spaulding 3,HydroPowerPlant,1,,
87,Spring Gap_1,284,Spring Gap,HydroPowerPlant,1,,
88,Stanislaus_HC1,285,Stanislaus,HydroPowerPlant,1,,
89,Tiger Creek_H1,287,Tiger Creek,HydroPowerPlant,1,,
90,Tiger Creek_H2,287,Tiger Creek,HydroPowerPlant,2,,
91,Tule River_1,289,Tule River,HydroPowerPlant,1,,
92,Tule River_2,289,Tule River,HydroPowerPlant,2,,
93,Volta 1_1,290,Volta 1,HydroPowerPlant,1,,
94,West Point PH_1,291,West Point PH,HydroPowerPlant,1,,
95,Wise_1,292,Wise,HydroPowerPlant,1,,
96,Wise_2,292,Wise,HydroPowerPlant,2,,
97,Copco 1_1,294,Copco 1,HydroPowerPlant,1,,
98,Copco 1_2,294,Copco 1,HydroPowerPlant,2,,
99,Copco 2_1,295,Copco 2,HydroPowerPlant,1,,
100,Copco 2_2,295,Copco 2,HydroPowerPlant,2,,
101,Fall Creek_1,296,Fall Creek,HydroPowerPlant,1,,
102,Fall Creek_2,296,Fall Creek,HydroPowerPlant,2,,
103,Fall Creek_3,296,Fall Creek,HydroPowerPlant,3,,
104,Iron Gate_1,297,Iron Gate,HydroPowerPlant,1,,
105,Drop 5_1,314,Drop 5,HydroPowerPlant,1,,
106,Drop 5_2,314,Drop 5,HydroPowerPlant,2,,
107,AES Alamitos LLC_3,315,AES Alamitos LLC,ThermalPowerPlant,1,,
108,AES Alamitos LLC_4,315,AES Alamitos LLC,ThermalPowerPlant,2,,
109,AES Alamitos LLC_5,315,AES Alamitos LLC,ThermalPowerPlant,3,,
110,Big Creek 2_3,318,Big Creek 2,HydroPowerPlant,1,,
111,Big Creek 2_4,318,Big Creek 2,HydroPowerPlant,2,,
112,Big Creek 2_5,318,Big Creek 2,HydroPowerPlant,3,,
113,Big Creek 2_6,318,Big Creek 2,HydroPowerPlant,4,,
114,Big Creek 3_1,319,Big Creek 3,HydroPowerPlant,1,,
115,Big Creek 3_2,319,Big Creek 3,HydroPowerPlant,2,,
116,Big Creek 3_3,319,Big Creek 3,HydroPowerPlant,3,,
117,Big Creek 3_4,319,Big Creek 3,HydroPowerPlant,4,,
118,Big Creek 3_5,319,Big Creek 3,HydroPowerPlant,5,,
119,Big Creek 8_1,321,Big Creek 8,HydroPowerPlant,1,,
120,Big Creek 8_2,321,Big Creek 8,HydroPowerPlant,2,,
121,Big Creek 2A_1,322,Big Creek 2A,HydroPowerPlant,1,,
122,Big Creek 2A_2,322,Big Creek 2A,HydroPowerPlant,2,,
123,Bishop Creek 2_1,323,Bishop Creek 2,HydroPowerPlant,1,,
124,Bishop Creek 2_2,323,Bishop Creek 2,HydroPowerPlant,2,,
125,Bishop Creek 2_3,323,Bishop Creek 2,HydroPowerPlant,3,,
126,Bishop Creek 3_1,324,Bishop Creek 3,HydroPowerPlant,1,,
127,Bishop Creek 3_2,324,Bishop Creek 3,HydroPowerPlant,2,,
128,Bishop Creek 3_3,324,Bishop Creek 3,HydroPowerPlant,3,,
129,Bishop Creek 4_1,325,Bishop Creek 4,HydroPowerPlant,1,,
130,Bishop Creek 4_2,325,Bishop Creek 4,HydroPowerPlant,2,,
131,Bishop Creek 4_3,325,Bishop Creek 4,HydroPowerPlant,3,,
132,Bishop Creek 4_4,325,Bishop Creek 4,HydroPowerPlant,4,,
133,Bishop Creek 4_5,325,Bishop Creek 4,HydroPowerPlant,5,,
134,Bishop Creek 5_1,326,Bishop Creek 5,HydroPowerPlant,1,,
135,Bishop Creek 5_2,326,Bishop Creek 5,HydroPowerPlant,2,,
136,Bishop Creek 6_1,327,Bishop Creek 6,HydroPowerPlant,1,,
137,Borel_1,328,Borel,HydroPowerPlant,1,,
138,Borel_2,328,Borel,HydroPowerPlant,2,,
139,Borel_3,328,Borel,HydroPowerPlant,3,,
140,Fontana_1,332,Fontana,HydroPowerPlant,1,,
141,Fontana_2,332,Fontana,HydroPowerPlant,2,,
142,AES Huntington Beach LLC_2,335,AES Huntington Beach LLC,ThermalPowerPlant,1,,
143,Kaweah 1_1,337,Kaweah 1,HydroPowerPlant,1,,
144,Kern River 3_1,339,Kern River 3,HydroPowerPlant,1,,
145,Kern River 3_2,339,Kern River 3,HydroPowerPlant,2,,
146,Kern River 1_1,340,Kern River 1,HydroPowerPlant,1,,
147,Kern River 1_2,340,Kern River 1,HydroPowerPlant,2,,
148,Kern River 1_3,340,Kern River 1,HydroPowerPlant,3,,
149,Kern River 1_4,340,Kern River 1,HydroPowerPlant,4,,
150,Long Beach Generation LLC_CT1,341,Long Beach Generation LLC,ThermalPowerPlant,1,,
151,Long Beach Generation LLC_CT2,341,Long Beach Generation LLC,ThermalPowerPlant,2,,
152,Long Beach Generation LLC_CT3,341,Long Beach Generation LLC,ThermalPowerPlant,3,,
153,Long Beach Generation LLC_CT4,341,Long Beach Generation LLC,ThermalPowerPlant,4,,
154,Mammoth Pool_1,344,Mammoth Pool,HydroPowerPlant,1,,
155,Mammoth Pool_2,344,Mammoth Pool,HydroPowerPlant,2,,
156,Ormond Beach_1,350,Ormond Beach,ThermalPowerPlant,1,,
157,Ormond Beach_2,350,Ormond Beach,ThermalPowerPlant,2,,
158,Poole_1,353,Poole,HydroPowerPlant,1,,
159,AES Redondo Beach LLC_5,356,AES Redondo Beach LLC,ThermalPowerPlant,1,,
160,AES Redondo Beach LLC_6,356,AES Redondo Beach LLC,ThermalPowerPlant,2,,
161,AES Redondo Beach LLC_8,356,AES Redondo Beach LLC,ThermalPowerPlant,3,,
162,Rush Creek_1,357,Rush Creek,HydroPowerPlant,1,,
163,Rush Creek_2,357,Rush Creek,HydroPowerPlant,2,,
164,Mountainview Generating Station_MV3A,358,Mountainview Generating Station,CombinedCycleBlock,1,3,DoubleCombustionOneSteam
165,Mountainview Generating Station_MV3B,358,Mountainview Generating Station,CombinedCycleBlock,1,3,DoubleCombustionOneSteam
166,Mountainview Generating Station_MV3C,358,Mountainview Generating Station,CombinedCycleBlock,1,3,DoubleCombustionOneSteam
167,Mountainview Generating Station_MV4A,358,Mountainview Generating Station,CombinedCycleBlock,2,4,DoubleCombustionOneSteam
168,Mountainview Generating Station_MV4B,358,Mountainview Generating Station,CombinedCycleBlock,2,4,DoubleCombustionOneSteam
169,Mountainview Generating Station_MV4C,358,Mountainview Generating Station,CombinedCycleBlock,2,4,DoubleCombustionOneSteam
170,Santa Ana 1_1,361,Santa Ana 1,HydroPowerPlant,1,,
171,Santa Ana 1_2,361,Santa Ana 1,HydroPowerPlant,2,,
172,Santa Ana 1_3,361,Santa Ana 1,HydroPowerPlant,3,,
173,Santa Ana 1_4,361,Santa Ana 1,HydroPowerPlant,4,,
174,Lower Tule River_1,365,Lower Tule River,HydroPowerPlant,1,,
175,Lower Tule River_2,365,Lower Tule River,HydroPowerPlant,2,,
176,Pardee_1,376,Pardee,HydroPowerPlant,1,,
177,Pardee_2,376,Pardee,HydroPowerPlant,2,,
178,Pardee_3,376,Pardee,HydroPowerPlant,3,,
179,Grayson_1,377,Grayson,CombinedCycleBlock,1,CC1,Other
180,Grayson_2,377,Grayson,CombinedCycleBlock,1,CC1,Other
181,Grayson_3,377,Grayson,ThermalPowerPlant,1,,
182,Grayson_4,377,Grayson,ThermalPowerPlant,2,,
183,Grayson_5,377,Grayson,ThermalPowerPlant,3,,
184,Grayson_8A,377,Grayson,CombinedCycleBlock,1,CC1,Other
185,Grayson_8BC,377,Grayson,CombinedCycleBlock,1,CC1,Other
186,Grayson_9,377,Grayson,ThermalPowerPlant,4,,
187,Dion R Holm_1,380,Dion R Holm,HydroPowerPlant,1,,
188,Dion R Holm_2,380,Dion R Holm,HydroPowerPlant,2,,
189,R C Kirkwood_1,382,R C Kirkwood,HydroPowerPlant,1,,
190,R C Kirkwood_2,382,R C Kirkwood,HydroPowerPlant,2,,
191,R C Kirkwood_3,382,R C Kirkwood,HydroPowerPlant,3,,
192,Drop 2 (CA)_1,385,Drop 2 (CA),HydroPowerPlant,1,,
193,Drop 2 (CA)_2,385,Drop 2 (CA),HydroPowerPlant,2,,
194,Drop 3 (CA)_1,386,Drop 3 (CA),HydroPowerPlant,1,,
195,Drop 3 (CA)_2,386,Drop 3 (CA),HydroPowerPlant,2,,
196,Drop 4_1,387,Drop 4,HydroPowerPlant,1,,
197,Drop 4_2,387,Drop 4,HydroPowerPlant,2,,
198,Pilot Knob_1,388,Pilot Knob,HydroPowerPlant,1,,
199,Pilot Knob_2,388,Pilot Knob,HydroPowerPlant,2,,
200,El Centro Hybrid_2,389,El Centro Hybrid,CombinedCycleBlock,1,STM2,SeparateShaftCombustionSteam
201,El Centro Hybrid_2A,389,El Centro Hybrid,CombinedCycleBlock,1,STM2,SeparateShaftCombustionSteam
202,El Centro Hybrid_30,389,El Centro Hybrid,CombinedCycleBlock,2,STM3,DoubleCombustionOneSteam
203,El Centro Hybrid_31,389,El Centro Hybrid,CombinedCycleBlock,2,STM3,DoubleCombustionOneSteam
204,El Centro Hybrid_32,389,El Centro Hybrid,CombinedCycleBlock,2,STM3,DoubleCombustionOneSteam
205,El Centro Hybrid_4,389,El Centro Hybrid,ThermalPowerPlant,1,,
206,El Centro Hybrid_BESS,389,El Centro Hybrid,RenewablePowerPlant,2,,
207,Big Pine Creek_1,391,Big Pine Creek,HydroPowerPlant,1,,
208,Foothill_1,396,Foothill,HydroPowerPlant,1,,
209,Franklin (CA)_1,397,Franklin (CA),HydroPowerPlant,1,,
210,Haiwee_1,398,Haiwee,HydroPowerPlant,1,,
211,Haiwee_2,398,Haiwee,HydroPowerPlant,2,,
212,Harbor_10A,399,Harbor,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
213,Harbor_10B,399,Harbor,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
214,Harbor_5,399,Harbor,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
215,Harbor_GT10,399,Harbor,ThermalPowerPlant,1,,
216,Harbor_GT11,399,Harbor,ThermalPowerPlant,2,,
217,Harbor_GT12,399,Harbor,ThermalPowerPlant,3,,
218,Harbor_GT13,399,Harbor,ThermalPowerPlant,4,,
219,Harbor_GT14,399,Harbor,ThermalPowerPlant,5,,
220,Haynes_1,400,Haynes,ThermalPowerPlant,1,,
221,Haynes_10,400,Haynes,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
222,Haynes_11,400,Haynes,ThermalPowerPlant,2,,
223,Haynes_12,400,Haynes,ThermalPowerPlant,3,,
224,Haynes_13,400,Haynes,ThermalPowerPlant,4,,
225,Haynes_14,400,Haynes,ThermalPowerPlant,5,,
226,Haynes_15,400,Haynes,ThermalPowerPlant,6,,
227,Haynes_16,400,Haynes,ThermalPowerPlant,7,,
228,Haynes_2,400,Haynes,ThermalPowerPlant,8,,
229,Haynes_8,400,Haynes,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
230,Haynes_9,400,Haynes,CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
231,Middle Gorge_1,401,Middle Gorge,HydroPowerPlant,1,,
232,San Fernando_1,403,San Fernando,HydroPowerPlant,1,,
233,San Fernando_2,403,San Fernando,HydroPowerPlant,2,,
234,Scattergood_1,404,Scattergood,ThermalPowerPlant,1,,
235,Scattergood_2,404,Scattergood,ThermalPowerPlant,2,,
236,Scattergood_4,404,Scattergood,CombinedCycleBlock,1,CC1,SeparateShaftCombustionSteam
237,Scattergood_5,404,Scattergood,CombinedCycleBlock,1,CC1,SeparateShaftCombustionSteam
238,Scattergood_6,404,Scattergood,ThermalPowerPlant,3,,
239,Scattergood_7,404,Scattergood,ThermalPowerPlant,4,,
240,Upper Gorge_1,407,Upper Gorge,HydroPowerPlant,1,,
241,Valley (CA)_5,408,Valley (CA),ThermalPowerPlant,1,,
242,Valley (CA)_6,408,Valley (CA),CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
243,Valley (CA)_7,408,Valley (CA),CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
244,Valley (CA)_8,408,Valley (CA),CombinedCycleBlock,1,CC1,DoubleCombustionOneSteam
245,McSwain_1,410,McSwain,HydroPowerPlant,1,,
246,Chicago Park_2P,412,Chicago Park,HydroPowerPlant,1,,
247,Dutch Flat 2_3P,413,Dutch Flat 2,HydroPowerPlant,1,,
248,Beardsley_1,414,Beardsley,HydroPowerPlant,1,,
249,Donnells_H1,415,Donnells,HydroPowerPlant,1,,
250,Tulloch_1,416,Tulloch,HydroPowerPlant,1,,
251,Tulloch_2,416,Tulloch,HydroPowerPlant,2,,
252,Tulloch_3,416,Tulloch,HydroPowerPlant,3,,
253,Kelly Ridge_1,418,Kelly Ridge,HydroPowerPlant,1,,
254,Glenarm_GT1,422,Glenarm,ThermalPowerPlant,1,,
255,Glenarm_GT2,422,Glenarm,ThermalPowerPlant,2,,
256,Glenarm_GT3,422,Glenarm,ThermalPowerPlant,3,,
257,Glenarm_GT4,422,Glenarm,ThermalPowerPlant,4,,
258,Glenarm_GT5,422,Glenarm,CombinedCycleBlock,1,1,SeparateShaftCombustionSteam
259,Glenarm_ST1,422,Glenarm,CombinedCycleBlock,1,1,SeparateShaftCombustionSteam
260,French Meadows_1,424,French Meadows,HydroPowerPlant,1,,
261,Middle Fork_1,425,Middle Fork,HydroPowerPlant,1,,
262,Middle Fork_2,425,Middle Fork,HydroPowerPlant,2,,
263,Oxbow (CA)_1,426,Oxbow (CA),HydroPowerPlant,1,,
264,Ralston_1,427,Ralston,HydroPowerPlant,1,,
265,Camino_H1,430,Camino,HydroPowerPlant,1,,
266,Camino_H2,430,Camino,HydroPowerPlant,2,,
267,Jaybird_H1,431,Jaybird,HydroPowerPlant,1,,
268,Jaybird_H2,431,Jaybird,HydroPowerPlant,2,,
269,Loon Lake_H1,432,Loon Lake,HydroPowerPlant,1,,
270,Robbs Peak_1,433,Robbs Peak,HydroPowerPlant,1,,
271,Devil Canyon_1,436,Devil Canyon,HydroPowerPlant,1,,
272,Devil Canyon_2,436,Devil Canyon,HydroPowerPlant,2,,
273,Devil Canyon_3,436,Devil Canyon,HydroPowerPlant,3,,
274,Devil Canyon_4,436,Devil Canyon,HydroPowerPlant,4,,
275,Edward C Hyatt_1,437,Edward C Hyatt,HydroPowerPlant,1,,
276,Edward C Hyatt_2,437,Edward C Hyatt,HydroPowerPlant,2,,
277,Edward C Hyatt_3,437,Edward C Hyatt,HydroPowerPlant,3,,
278,Edward C Hyatt_4,437,Edward C Hyatt,HydroPowerPlant,4,,
279,Edward C Hyatt_5,437,Edward C Hyatt,HydroPowerPlant,5,,
280,Edward C Hyatt_6,437,Edward C Hyatt,HydroPowerPlant,6,,
281,Don Pedro_1,439,Don Pedro,HydroPowerPlant,1,,
282,Don Pedro_2,439,Don Pedro,HydroPowerPlant,2,,
283,Don Pedro_3,439,Don Pedro,HydroPowerPlant,3,,
284,Don Pedro_4,439,Don Pedro,HydroPowerPlant,4,,
285,Folsom_1,441,Folsom,HydroPowerPlant,1,,
286,Folsom_2,441,Folsom,HydroPowerPlant,2,,
287,Folsom_3,441,Folsom,HydroPowerPlant,3,,
288,Judge F Carr_1,442,Judge F Carr,HydroPowerPlant,1,,
289,Judge F Carr_2,442,Judge F Carr,HydroPowerPlant,2,,
290,Keswick_1,443,Keswick,HydroPowerPlant,1,,
291,Keswick_2,443,Keswick,HydroPowerPlant,2,,
292,Keswick_3,443,Keswick,HydroPowerPlant,3,,
293,Nimbus_1,444,Nimbus,HydroPowerPlant,1,,
294,Nimbus_2,444,Nimbus,HydroPowerPlant,2,,
295,Shasta_1,445,Shasta,HydroPowerPlant,1,,
296,Shasta_2,445,Shasta,HydroPowerPlant,2,,
297,Shasta_3,445,Shasta,HydroPowerPlant,3,,
298,Shasta_4,445,Shasta,HydroPowerPlant,4,,
299,Shasta_5,445,Shasta,HydroPowerPlant,5,,
300,Shasta_S1,445,Shasta,HydroPowerPlant,6,,
301,Shasta_S2,445,Shasta,HydroPowerPlant,7,,
302,Parker Dam_1,447,Parker Dam,HydroPowerPlant,1,,
303,Parker Dam_2,447,Parker Dam,HydroPowerPlant,2,,
304,Parker Dam_3,447,Parker Dam,HydroPowerPlant,3,,
305,Parker Dam_4,447,Parker Dam,HydroPowerPlant,4,,
306,W R Gianelli_1,448,W R Gianelli,HydroPowerPlant,1,,
307,W R Gianelli_2,448,W R Gianelli,HydroPowerPlant,2,,
308,W R Gianelli_3,448,W R Gianelli,HydroPowerPlant,3,,
309,W R Gianelli_4,448,W R Gianelli,HydroPowerPlant,4,,
310,W R Gianelli_5,448,W R Gianelli,HydroPowerPlant,5,,
311,W R Gianelli_6,448,W R Gianelli,HydroPowerPlant,6,,
312,W R Gianelli_7,448,W R Gianelli,HydroPowerPlant,7,,
313,W R Gianelli_8,448,W R Gianelli,HydroPowerPlant,8,,
314,Spring Creek_1,450,Spring Creek,HydroPowerPlant,1,,
315,Spring Creek_2,450,Spring Creek,HydroPowerPlant,2,,
316,Trinity_1,451,Trinity,HydroPowerPlant,1,,
317,Trinity_2,451,Trinity,HydroPowerPlant,2,,
318,Colgate_1,454,Colgate,HydroPowerPlant,1,,
319,Colgate_2,454,Colgate,HydroPowerPlant,2,,
320,Bear Valley_HC1,457,Bear Valley,HydroPowerPlant,1,,
321,Bear Valley_HC2,457,Bear Valley,HydroPowerPlant,2,,
322,Temescal_1,479,Temescal,HydroPowerPlant,1,,
323,Corona_1,480,Corona,HydroPowerPlant,1,,
324,Perris_1,481,Perris,HydroPowerPlant,1,,
325,Rio Hondo_1,482,Rio Hondo,HydroPowerPlant,1,,
326,Coyote Creek_1,483,Coyote Creek,HydroPowerPlant,1,,
327,Valley View_1,487,Valley View,HydroPowerPlant,1,,
328,Jones Fork_1,534,Jones Fork,HydroPowerPlant,1,,
329,Camanche_1,537,Camanche,HydroPowerPlant,1,,
330,Camanche_2,537,Camanche,HydroPowerPlant,2,,
331,Camanche_3,537,Camanche,HydroPowerPlant,3,,
332,Drop 1_1,585,Drop 1,HydroPowerPlant,1,,
333,Drop 1_2,585,Drop 1,HydroPowerPlant,2,,
334,Drop 1_3,585,Drop 1,HydroPowerPlant,3,,
335,East Highline_1,586,East Highline,HydroPowerPlant,1,,
336,Oak Flat_1,626,Oak Flat,HydroPowerPlant,1,,
337,Newcastle_1,632,Newcastle,HydroPowerPlant,1,,
338,Kerckhoff 2_1,682,Kerckhoff 2,HydroPowerPlant,1,,
339,Etiwanda_1,745,Etiwanda,HydroPowerPlant,1,,
340,Sly Creek_1,776,Sly Creek,HydroPowerPlant,1,,
341,Scott Flat_7P,839,Scott Flat,HydroPowerPlant,1,,
342,Bottle Rock Power_1,902,Bottle Rock Power,ThermalPowerPlant,1,,
343,Alamo_1,905,Alamo,HydroPowerPlant,1,,
344,Walnut_1,4256,Walnut,ThermalPowerPlant,1,,
345,Walnut_2,4256,Walnut,ThermalPowerPlant,2,,
346,Coachella_1,6060,Coachella,ThermalPowerPlant,1,,
347,Coachella_2,6060,Coachella,ThermalPowerPlant,2,,
348,Coachella_3,6060,Coachella,ThermalPowerPlant,3,,
349,Coachella_4,6060,Coachella,ThermalPowerPlant,4,,
350,Diablo Canyon_1,6099,Diablo Canyon,ThermalPowerPlant,1,,
351,Diablo Canyon_2,6099,Diablo Canyon,ThermalPowerPlant,2,,
352,New Melones_1,6158,New Melones,HydroPowerPlant,1,,
353,New Melones_2,6158,New Melones,HydroPowerPlant,2,,
354,W E Warne_1,6196,W E Warne,HydroPowerPlant,1,,
355,W E Warne_2,6196,W E Warne,HydroPowerPlant,2,,
356,Dynegy Oakland Power Plant_GEN1,6211,Dynegy Oakland Power Plant,ThermalPowerPlant,1,,
357,Dynegy Oakland Power Plant_GEN2,6211,Dynegy Oakland Power Plant,ThermalPowerPlant,2,,
358,Dynegy Oakland Power Plant_GEN3,6211,Dynegy Oakland Power Plant,ThermalPowerPlant,3,,
359,Azusa_1,6449,Azusa,HydroPowerPlant,1,,
360,San Francisquito 2_1,6480,San Francisquito 2,HydroPowerPlant,1,,
361,San Francisquito 2_2,6480,San Francisquito 2,HydroPowerPlant,2,,
362,San Francisquito 2_3,6480,San Francisquito 2,HydroPowerPlant,3,,
363,Kings Beach_KB1,6518,Kings Beach,ThermalPowerPlant,1,,
364,Kings Beach_KB2,6518,Kings Beach,ThermalPowerPlant,2,,
365,Kings Beach_KB3,6518,Kings Beach,ThermalPowerPlant,3,,
366,Kings Beach_KB4,6518,Kings Beach,ThermalPowerPlant,4,,
367,Kings Beach_KB5,6518,Kings Beach,ThermalPowerPlant,5,,
368,Kings Beach_KB6,6518,Kings Beach,ThermalPowerPlant,6,,
369,Union Valley_1,6612,Union Valley,HydroPowerPlant,1,,
370,Greg Avenue_1,6643,Greg Avenue,HydroPowerPlant,1,,
371,Lake Mathews_1,6644,Lake Mathews,HydroPowerPlant,1,,
372,Foothill Feeder_1,6645,Foothill Feeder,HydroPowerPlant,1,,
373,Foothill Feeder_2,6645,Foothill Feeder,HydroPowerPlant,2,,
374,San Dimas_1,6646,San Dimas,HydroPowerPlant,1,,
375,Yorba Linda_1,6647,Yorba Linda,HydroPowerPlant,1,,
376,Stampede_1,7066,Stampede,HydroPowerPlant,1,,
377,Stampede_2,7066,Stampede,HydroPowerPlant,2,,
